N	4gram	Losev_Dial_4	Vladivir
1	дело в том что	1	3
2	в то же время	6	3
3	или по крайней мере	3	2
4	но дело в том	1	2
5	не говоря уже о	3	2
6	и тем не менее	1	1
7	точно так же нужно	1	1
8	по крайней мере до	1	1
9	и в то же	2	1
10	не что иное как	8	1
11	но тем не менее	1	1
12	имеет никакого отношения к	2	1
13	не в том что	4	1
14	что в сравнении с	1	1
15	не имеет никакого отношения	2	1
16	но в то же	2	1
17	крайней мере до некоторой	1	1
18	мере до некоторой степени	1	1
19	тут тоже нет ничего	1	1
20	в связи с этим	1	1
21	заключается не в том	1	1
