N	2gram	Losev_Dial_3	Problemy
1	и в	24	35
2	как бы	3	31
3	и не	27	27
4	что он	13	24
5	в его	2	21
6	но в	2	19
7	как и	7	18
8	не может	19	18
9	о себе	2	17
10	к другому	1	16
11	в нем	3	16
12	то есть	1	16
13	то же	6	15
14	с самим	1	15
15	и все	6	15
16	в сущности	10	14
17	в этом	8	14
18	и его	5	14
19	для него	4	14
20	может быть	13	14
21	но и	9	14
22	все это	6	14
23	он не	5	13
24	к нему	3	13
25	и с	6	12
26	прежде всего	8	12
27	и к	5	12
28	в то	5	11
29	слова и	1	11
30	самом деле	6	10
31	не только	23	10
32	не в	3	10
33	же время	3	10
34	то что	14	10
35	а я	2	10
36	на самом	1	9
37	в отношении	1	9
38	ни одного	1	9
39	мы уже	3	8
40	я не	6	8
41	все же	3	8
42	как мы	2	8
43	так и	5	8
44	себя и	2	8
45	о мире	1	8
46	и для	2	8
47	потому что	7	8
48	еще не	2	7
49	на них	2	7
50	с его	2	7
51	себе и	1	7
52	и наконец	1	7
53	таким образом	13	7
54	я сам	1	7
55	для себя	2	7
56	и сам	1	7
57	в виде	8	7
58	вовсе не	13	7
59	так же	4	7
60	что же	11	7
61	себя самого	2	7
62	точки зрения	25	7
63	с ним	1	7
64	а в	2	7
65	и на	3	6
66	но не	2	6
67	в самом	7	6
68	что у	2	6
69	в слове	3	6
70	у меня	2	6
71	к тому	4	6
72	он с	1	6
73	в одном	1	6
74	и что	15	6
75	только в	5	6
76	стремится к	1	6
77	но это	5	6
78	от него	1	6
79	не знает	3	6
80	что в	7	6
81	и то	4	5
82	в себе	2	5
83	он и	3	5
84	от себя	4	5
85	даже в	1	5
86	я вас	1	5
87	во время	1	5
88	на него	1	5
89	себе самом	1	5
90	да и	1	5
91	его с	1	5
92	и это	4	5
93	в том	5	5
94	так что	8	5
95	и даже	13	5
96	когда я	1	5
97	как к	1	5
98	ведь и	1	4
99	так чтобы	2	4
100	в мире	1	4
101	в чем	4	4
102	нет и	4	4
103	же и	2	4
104	та же	1	4
105	что это	12	4
106	но на	2	4
107	и вот	2	4
108	вы думаете	1	4
109	но все	1	4
110	я бы	3	4
111	из своего	1	4
112	его в	1	4
113	все и	1	4
114	в них	5	4
115	в такой	1	4
116	нему и	1	4
117	но он	1	4
118	друг другу	1	4
119	по себе	20	4
120	никогда не	7	4
121	и без	3	4
122	он хочет	1	4
123	во всем	3	4
124	как раз	7	4
125	слова о	1	4
126	и делает	1	4
127	той или	2	4
128	не хочу	1	4
129	за живое	1	4
130	сознания и	4	4
131	тотчас же	1	4
132	наконец в	1	4
133	все время	3	4
134	ну так	1	4
135	и так	1	4
136	и у	2	4
137	только на	7	4
138	всяком случае	2	4
139	так как	6	4
140	не о	2	4
141	у него	2	4
142	тем что	3	4
143	или иной	4	4
144	с другой	4	4
145	и прежде	3	4
146	что не	5	4
147	в стиле	1	4
148	а не	26	4
149	но как	2	4
150	его внутренней	2	4
151	по своему	1	4
152	человек и	1	4
153	бы в	2	4
154	но зато	1	4
