N	2gram	Ircho_Kome_3	Freidism
1	таким образом	12	24
2	и не	21	23
3	не может	3	20
4	точки зрения	4	19
5	прежде всего	5	18
6	к отцу	2	16
7	в этом	8	15
8	в его	8	15
9	с помощью	4	14
10	в душе	1	13
11	мы можем	3	13
12	может быть	6	13
13	и его	6	12
14	все эти	1	11
15	как и	3	11
16	с точки	3	11
17	как бы	3	11
18	то что	4	11
19	самом деле	6	10
20	но в	5	10
21	его в	8	10
22	с ним	5	10
23	как мы	2	10
24	так и	4	10
25	и потому	1	10
26	с его	3	9
27	во всех	2	9
28	по отношению	5	9
29	и в	22	9
30	то же	7	8
31	не только	5	8
32	он не	5	8
33	в своей	5	8
34	еще не	6	8
35	что он	8	8
36	только в	1	8
37	так как	11	8
38	все это	5	8
39	и все	2	8
40	отношению к	3	8
41	все что	3	8
42	в самом	9	7
43	отношение к	5	7
44	и наконец	1	7
45	ни в	10	7
46	те же	1	7
47	к нему	5	7
48	один из	3	7
49	тот же	2	7
50	мы знаем	2	7
51	всяком случае	3	7
52	сказать что	1	7
53	во всяком	3	7
54	в ней	4	6
55	за пределы	2	6
56	и с	4	6
57	и ее	2	6
58	точку зрения	1	6
59	вовсе не	4	6
60	никогда не	3	6
61	хотя бы	4	6
62	совершенно не	2	6
63	я и	1	5
64	и на	2	5
65	он сам	1	5
66	в чем	1	5
67	и к	3	5
68	в этой	3	5
69	знаем что	1	5
70	не в	4	5
71	в то	6	5
72	могут быть	1	5
73	в себя	1	5
74	для этого	1	5
75	можно сказать	1	5
76	для того	6	5
77	по мнению	2	5
78	в большинстве	1	5
79	а в	7	5
80	но и	4	5
81	с этим	3	5
82	его жизни	1	5
83	в свою	7	5
84	что в	5	5
85	в зависимости	1	4
86	той же	1	4
87	мы не	2	4
88	в которой	3	4
89	говорить о	3	4
90	я не	1	4
91	зависимости от	1	4
92	но не	1	4
93	все же	4	4
94	не было	2	4
95	из этих	1	4
96	в пределах	2	4
97	в нем	3	4
98	на этом	1	4
99	то ни	3	4
100	при этом	7	4
101	об этом	7	4
102	с другими	2	4
103	на основании	2	4
104	во время	6	4
105	не менее	5	4
106	в основе	2	4
107	же время	5	4
108	таким путем	1	4
109	потому что	10	4
110	и для	4	4
111	к тому	6	4
112	если мы	2	4
113	того чтобы	6	4
114	сводится к	1	4
115	с самого	4	4
116	это только	1	4
117	которой мы	2	4
118	конечно не	3	4
119	не дает	4	4
120	в котором	2	4
121	мы находим	1	4
122	как раз	6	4
123	от того	2	4
124	на которые	3	4
125	себя и	2	4
126	в мир	1	4
127	и о	2	4
128	отца с	1	4
129	в этих	1	4
130	между ними	2	4
131	в таком	2	4
132	человека и	2	3
133	на себя	4	3
134	он был	4	3
135	не найдем	1	3
136	с отцом	2	3
137	конечном счете	2	3
138	как в	2	3
139	и как	1	3
140	и тот	3	3
141	в себе	4	3
142	и те	1	3
143	о которой	2	3
144	и по	1	3
145	что все	1	3
146	и может	1	3
147	конечно в	1	3
148	было бы	3	3
149	отца и	2	3
150	мы имеем	1	3
151	очень важный	1	3
152	такой же	1	3
153	нисколько не	3	3
154	отцом и	3	3
155	войти в	1	3
156	тому что	2	3
157	самого начала	4	3
158	на него	4	3
159	в сознании	1	3
160	к себе	5	3
161	не могут	2	3
162	бы он	3	3
163	она не	2	3
164	ничего общего	1	3
165	свою очередь	6	3
166	и этим	3	3
167	приводит к	3	3
168	если бы	8	3
169	и что	6	3
170	бы то	2	3
171	в конечном	2	3
172	во втором	1	3
173	и она	1	3
174	со всеми	1	3
175	человека с	1	3
176	у него	4	3
177	в них	3	3
178	со стороны	11	3
179	на этот	3	3
180	вместе с	9	3
181	по своему	3	3
182	и от	1	3
183	не является	4	3
184	это как	1	3
185	в голову	1	3
186	когда он	4	3
187	не знает	3	3
188	жизни и	1	3
189	по поводу	1	3
190	отношения к	2	2
191	чтобы не	1	2
192	тем же	3	2
193	в первом	1	2
194	и до	1	2
195	для своего	1	2
196	что между	1	2
197	и дать	2	2
198	становится совершенно	1	2
199	не совсем	2	2
200	того же	6	2
201	между собой	4	2
202	не без	1	2
203	сказать и	1	2
204	в ее	3	2
205	но как	1	2
206	ответ на	1	2
207	себе и	1	2
208	отличие от	2	2
209	ничуть не	6	2
210	относится к	1	2
211	в своем	8	2
212	от этого	1	2
213	в этот	1	2
214	не приходится	2	2
215	в нашем	1	2
216	выражение в	1	2
217	человек не	1	2
218	что она	4	2
219	из этой	2	2
220	их в	3	2
221	или вовсе	1	2
222	но все	4	2
223	них не	1	2
224	это было	1	2
225	это не	2	2
226	в свой	1	2
227	чаще всего	1	2
228	по всему	3	2
229	этого не	1	2
230	приходит в	1	2
231	том что	13	2
232	но если	3	2
233	мы конечно	1	2
234	в их	2	2
235	в отличие	1	2
236	его отношение	1	2
237	сих пор	9	2
238	теми же	1	2
239	иным как	1	2
240	как это	5	2
241	в отношении	4	2
242	случае в	1	2
243	что с	2	2
244	дело не	2	2
245	и притом	1	2
246	к этим	1	2
247	не нуждается	1	2
248	в самых	1	2
249	не лучше	1	2
250	тем не	3	2
251	и мысли	3	2
252	и теперь	1	2
253	из того	3	2
254	этом отношении	2	2
255	в области	2	2
256	все то	1	2
257	же что	1	2
258	и снова	1	2
259	в виду	2	2
260	можно сделать	1	2
261	роль в	2	2
262	даже самых	1	2
263	в глаза	3	2
264	стремление к	1	2
265	в другом	2	2
266	и поэтому	4	2
267	до сих	9	2
268	не позволяет	3	2
269	нуждается в	2	2
270	что и	8	2
271	которые он	1	2
272	на которой	1	2
273	себя с	1	2
274	мы видим	1	2
275	отцу он	1	2
276	в какой	3	2
277	отцу и	1	2
278	даже если	2	2
279	с одной	3	2
280	и у	1	2
281	уже в	2	2
282	только на	1	2
283	ни было	2	2
284	в нашей	1	2
285	из них	5	2
286	его и	1	2
287	в прошлом	1	2
288	в конце	7	2
289	с этими	1	2
290	и даже	3	2
291	с другой	4	2
292	человека в	2	2
293	чем он	1	2
294	а с	1	2
295	до конца	4	2
296	ничем не	4	2
297	отца в	2	2
298	одной стороны	3	2
299	а не	4	2
300	что мы	2	2
301	так же	4	2
302	мы остановимся	1	2
303	для понимания	2	2
304	в развитии	2	2
305	сказать не	1	2
306	в основном	1	2
307	человеческого поведения	1	2
308	только для	2	2
309	и таким	1	2
310	же самое	3	2
