N	3gram	Voloshinov_1	Formalny
1	в связи с	2	10
2	не может быть	2	10
3	в этом отношении	2	7
4	с точки зрения	5	7
5	в то же	9	5
6	и в этом	1	5
7	в самом деле	1	5
8	то же время	7	5
9	того или иного	5	4
10	вместе с тем	2	4
11	как мы видели	3	4
12	связи с этим	2	3
13	в большинстве случаев	1	3
14	и в то	2	3
15	с другой стороны	1	3
16	и не может	1	3
17	на самом деле	3	3
18	в зависимости от	5	3
19	в значительной степени	2	3
20	для того чтобы	7	3
21	но и в	3	3
22	хотя бы в	1	3
23	как раз и	1	3
24	с самого начала	4	2
25	ни на один	1	2
26	речевого общения в	2	2
27	мы приходим к	1	2
28	к тому что	2	2
29	в том что	1	2
30	было говорить о	1	2
31	между этими двумя	1	2
32	но все же	2	2
33	в конце концов	3	2
34	прежде всего в	3	2
35	с тем и	2	2
36	мы не можем	1	1
37	слово как таковое	1	1
38	и тем самым	3	1
39	между тем в	1	1
40	не останется как	1	1
41	значение лишь в	1	1
42	же время и	1	1
43	в последнем счете	1	1
44	прежде всего у	1	1
45	теми или иными	1	1
46	при этом не	1	1
47	что же делает	1	1
48	но в то	2	1
49	тем что он	1	1
50	как и в	1	1
51	этого слова мы	1	1
52	тем же самым	1	1
53	правильному решению вопроса	1	1
54	равно как и	2	1
55	до сих пор	1	1
56	иметь в виду	1	1
57	особое место в	1	1
58	ничего не останется	2	1
59	должно было быть	1	1
60	и в особенности	1	1
61	в той же	3	1
62	с помощью которого	1	1
63	тем что его	1	1
64	в литературном произведении	1	1
65	содержание и форму	2	1
66	в этом случае	3	1
67	во всех своих	3	1
68	другого человека на	1	1
69	подвести некоторые итоги	1	1
70	есть не что	2	1
71	вследствие того что	1	1
72	иное значение лишь	1	1
73	вовсе не является	1	1
74	у нас не	2	1
75	органов речи и	1	1
76	языка и не	1	1
77	не что иное	2	1
78	но при этом	2	1
79	в своем развитии	1	1
80	целого произведения и	1	1
81	но даже и	1	1
82	более или менее	1	1
83	не было бы	2	1
84	то или иное	4	1
85	но все эти	1	1
86	именно так и	1	1
87	чуть ли не	2	1
88	мы имеем в	1	1
89	на другого человека	1	1
90	как к своему	1	1
91	образом мы приходим	1	1
92	что иное как	2	1
93	что перед нами	2	1
94	не может ведь	1	1
95	смысле этого слова	2	1
96	что оно является	1	1
97	в виду что	1	1
98	в самом широком	1	1
99	можно говорить лишь	1	1
100	в собственном смысле	1	1
101	или иное значение	1	1
102	таким образом мы	1	1
103	в свою очередь	4	1
104	как и от	1	1
105	не говоря уже	1	1
106	что же останется	1	1
107	речи но все	1	1
108	на этот вопрос	1	1
109	как мы увидим	2	1
110	тем не менее	1	1
111	прежде всего на	1	1
112	что же такое	2	1
113	по крайней мере	1	1
