N	4gram	Vinokur_Ku_2	Problema
1	в то же время	3	3
2	можно говорить и о	1	2
3	бы то ни было	1	2
4	не может и не	1	2
5	и тем не менее	4	1
6	дело в том что	1	1
7	или в лучшем случае	1	1
8	и в том и	1	1
9	и т п и	2	1
10	в то время как	1	1
11	не только в поэзии	1	1
12	не что иное как	1	1
13	не говоря уже о	2	1
14	иметь в виду что	1	1
15	в самом широком смысле	1	1
16	том и в другом	1	1
17	есть contradictio in adjecto	1	1
18	хотя бы и в	1	1
19	которых идет речь в	1	1
20	с первого же взгляда	1	1
21	в том и в	1	1
22	несмотря на то что	1	1
23	о которых идет речь	1	1
24	есть не что иное	1	1
