N	2gram	Bakhtin_sl_1	IolandNe
1	и с	4	3
2	должен быть	1	2
3	и не	16	2
4	в этом	12	2
5	он не	3	2
6	ничего не	4	2
7	себя в	9	1
8	его произведения	1	1
9	все это	5	1
10	автора и	4	1
11	автор не	4	1
12	нисколько не	2	1
13	и др	14	1
14	и тот	1	1
15	и в	41	1
16	и о	2	1
17	в эту	2	1
18	с жизнью	1	1
19	то и	1	1
20	них не	1	1
21	бы в	1	1
22	как только	3	1
23	того же	6	1
24	жил в	1	1
25	не остается	1	1
26	и со	1	1
27	с другой	5	1
28	это было	1	1
29	а в	6	1
30	и дети	1	1
31	того что	3	1
32	не дает	1	1
33	произведения это	1	1
34	и без	1	1
35	следовательно в	3	1
36	на котором	1	1
37	а с	2	1
38	другой стороны	4	1
39	в материале	1	1
40	для него	3	1
41	а также	2	1
42	в основе	5	1
43	что для	1	1
44	в значительной	1	1
45	и сам	3	1
46	есть только	1	1
47	так и	11	1
48	бы его	2	1
49	от этого	2	1
50	произведения и	2	1
51	того чтобы	1	1
52	никогда не	3	1
53	жизни и	1	1
54	и ничего	1	1
55	тех же	1	1
56	в целом	2	1
57	в них	6	1
58	все эти	9	1
59	по существу	3	1
60	ибо и	1	1
61	со всеми	1	1
62	автор и	2	1
63	если бы	1	1
64	для того	2	1
