N	2gram	Tiupa_Narr_1	Problema
1	то есть	9	46
2	в его	6	43
3	и не	23	42
4	и в	11	38
5	не может	8	27
6	может быть	15	26
7	как бы	6	22
8	по отношению	3	21
9	отнюдь не	2	19
10	отношению к	3	19
11	и с	3	17
12	и его	10	16
13	в этом	12	15
14	в нем	4	15
15	и т	1	14
16	только в	12	13
17	прежде всего	4	13
18	но не	4	12
19	в искусстве	1	12
20	во всех	1	11
21	в области	2	11
22	и для	2	11
23	не входит	1	10
24	отношение к	1	10
25	таким образом	1	10
26	в их	1	10
27	к нему	4	10
28	не только	31	9
29	не имеет	2	9
30	его в	1	9
31	имеет дело	1	9
32	но и	27	9
33	и как	3	8
34	входит в	2	8
35	точки зрения	5	8
36	для нее	1	8
37	произведения как	1	8
38	в том	8	8
39	художественное произведение	1	8
40	то что	9	8
41	еще не	4	7
42	в самом	6	7
43	как и	13	7
44	не в	6	7
45	содержание в	1	7
46	как мы	2	7
47	с другой	2	7
48	между тем	3	7
49	слова в	4	7
50	с помощью	1	7
51	совершенно не	1	7
52	в своей	5	7
53	что в	3	7
54	самом деле	3	6
55	там где	1	6
56	в м	1	6
57	и наконец	1	6
58	в пределах	2	6
59	не всегда	3	6
60	с точки	1	6
61	ничего не	2	6
62	дело с	2	6
63	мы можем	2	6
64	человеческой культуры	1	6
65	произведение в	1	6
66	все же	4	6
67	а в	13	6
68	тем как	1	5
69	отличие от	2	5
70	в своем	3	5
71	при этом	19	5
72	то же	8	5
73	это не	3	5
74	далеко не	1	5
75	в отличие	2	5
76	так и	5	5
77	и о	3	5
78	никогда не	4	5
79	с ним	2	5
80	не на	1	5
81	а не	13	5
82	со словом	1	5
83	могут быть	1	5
84	все они	1	5
85	имеет место	4	5
86	на самом	1	4
87	в виду	1	4
88	в ней	4	4
89	конечном счете	1	4
90	как в	4	4
91	но в	7	4
92	в нашем	3	4
93	в себе	6	4
94	произведение как	1	4
95	в данном	11	4
96	объект и	1	4
97	не менее	3	4
98	но они	3	4
99	тем самым	5	4
100	в то	4	4
101	чтобы стать	1	4
102	известной степени	1	4
103	здесь не	2	4
104	в ее	1	4
105	данном случае	8	4
106	в произведении	2	4
107	не с	1	4
108	о том	4	4
109	в конечном	3	4
110	которых мы	1	4
111	с ними	2	4
112	композиционная форма	1	4
113	всех его	2	4
114	в форме	2	4
115	и только	2	4
116	что не	2	4
117	в романе	2	4
118	и потому	1	4
119	в более	1	4
120	хотя бы	2	4
121	между ними	2	4
122	сказать что	2	4
123	другой стороны	2	4
124	также и	3	3
125	например в	1	3
126	едва ли	3	3
127	композиционных форм	1	3
128	бы то	1	3
129	сказать и	1	3
130	мы будем	1	3
131	точка зрения	5	3
132	и к	1	3
133	в целом	3	3
134	он не	3	3
135	то ни	1	3
136	в мире	4	3
137	с другими	1	3
138	и тем	4	3
139	в слове	3	3
140	том что	7	3
141	тем не	3	3
142	имеем дело	2	3
143	же время	4	3
144	в событии	2	3
145	хотя и	4	3
146	и от	2	3
147	начало и	3	3
148	приводит к	1	3
149	ясно что	1	3
150	если бы	7	3
151	на ее	2	3
152	творчества в	1	3
153	природы и	1	3
154	одной из	1	3
155	мы увидим	1	3
156	с одной	1	3
157	со всеми	1	3
158	вопроса о	1	3
159	событие и	4	3
160	и даже	2	3
161	бытия в	1	3
162	оно не	2	3
163	одной стороны	1	3
164	его как	1	3
165	на фоне	1	3
166	связь с	1	3
167	и на	5	3
168	к ценности	1	3
169	в тех	1	3
170	да и	2	3
171	слова и	1	3
172	но это	1	3
173	все это	1	3
174	не является	3	3
175	она может	2	3
176	и все	3	3
177	ни было	1	3
178	не знает	1	3
179	в таком	2	3
180	все что	2	3
181	они не	1	3
182	и завершается	1	2
183	в эстетике	1	2
184	и есть	1	2
185	в котором	1	2
186	мы имеем	3	2
