N	3gram	Potebnia_M_1	StatiiOP
1	и т д	4	21
2	в том что	13	17
3	о том что	1	11
4	для того чтобы	2	10
5	и т п	2	9
6	с точки зрения	3	8
7	можно было бы	1	8
8	до сих пор	1	7
9	в этом отношении	1	7
10	на самом деле	1	6
11	с другой стороны	5	6
12	во всяком случае	1	6
13	не может быть	9	5
14	дело в том	2	4
15	то же время	3	4
16	не только в	3	4
17	так и в	3	4
18	что и в	3	4
19	на то что	1	4
20	в то же	3	4
21	по отношению к	13	3
22	только в том	6	3
23	в применении к	2	3
24	так же как	1	3
25	в том как	3	3
26	и в этом	6	3
27	заключается в том	1	3
28	но все же	1	3
29	так как в	2	2
30	во многих случаях	1	2
31	что не может	3	2
32	и в том	3	2
33	но и в	4	2
34	что в нем	1	2
35	по крайней мере	2	2
36	но с другой	2	2
37	если бы мы	1	2
38	с одной стороны	3	2
39	в то время	1	2
40	не в том	4	2
41	тем что в	1	2
42	то что в	1	2
43	вопрос о том	1	2
44	в том смысле	4	2
45	тем не менее	6	2
46	как и в	2	2
47	то все же	1	1
48	по его словам	2	1
49	на том что	1	1
50	а между тем	3	1
51	в одном из	1	1
52	то ни стало	1	1
53	а не в	1	1
54	не говоря уже	1	1
55	как и во	1	1
56	в таком виде	2	1
57	в этом смысле	4	1
58	в том и	2	1
59	а не по	1	1
60	не могла бы	2	1
61	потому что не	4	1
62	во что бы	1	1
63	а не для	1	1
64	будет видно из	1	1
65	говоря уже о	1	1
66	первому из этих	1	1
67	что каждая из	1	1
68	сами по себе	1	1
69	убедиться в этом	1	1
70	что в одном	1	1
71	бы то ни	2	1
72	же время не	1	1
73	только то что	1	1
74	не подходят под	1	1
75	том и другом	2	1
76	обратить внимание на	1	1
77	виде в каком	1	1
78	и стремление к	1	1
79	точно так же	1	1
80	на этот вопрос	2	1
81	в каждом отдельном	1	1
82	только тем что	1	1
83	могут быть приведены	1	1
84	что же до	1	1
85	и в этих	1	1
86	прямого отношения к	1	1
87	но дело в	2	1
88	что бы то	1	1
89	чтобы убедиться в	1	1
90	и что в	3	1
91	в глазах самого	2	1
92	ошибки могут быть	1	1
93	показать что и	1	1
94	а есть только	1	1
95	и в отношении	1	1
96	на которую указывает	1	1
97	языка не может	1	1
98	то тем самым	1	1
99	в каком он	1	1
100	слова не было	1	1
101	нужно было бы	1	1
102	всяком случае не	1	1
103	что в таком	2	1
104	и во всей	1	1
105	уже о том	1	1
106	потому что она	1	1
107	именно в том	1	1
108	что у нас	1	1
109	и таким образом	1	1
110	а в том	3	1
111	таким образом в	1	1
112	д и т	1	1
113	том смысле что	1	1
114	в одно целое	1	1
115	притом не в	1	1
116	но то что	1	1
117	ни для кого	1	1
118	смысле этого слова	1	1
119	из этих наук	1	1
120	другой стороны и	1	1
121	или вернее сказать	1	1
122	каждом из этих	1	1
123	может быть признана	1	1
124	как бы ни	2	1
125	их и не	1	1
126	для кого не	1	1
127	с этой стороны	1	1
128	а не на	1	1
129	в каждом из	1	1
130	бы они ни	2	1
131	они ни были	2	1
132	друг от друга	2	1
133	после того как	1	1
134	но это не	1	1
135	к тому что	2	1
136	в г д	2	1
137	так что в	2	1
138	быть не может	2	1
139	т д в	1	1
140	могло бы быть	1	1
141	и языка и	1	1
142	как и всякая	1	1
