N	3gram	Berdyaev_M_1	OGranits
1	не может быть	17	4
2	по отношению к	2	3
3	есть прежде всего	1	3
4	что иное как	1	2
5	в самом деле	1	2
6	в зависимости от	1	2
7	зависимости от этого	1	2
8	не что иное	1	2
9	в том что	1	2
10	что в основе	1	1
11	а вовсе не	1	1
12	в которых он	1	1
13	с одним из	1	1
14	выйти за пределы	1	1
15	и не может	2	1
16	в отличие от	1	1
17	нет и не	1	1
18	между тем как	1	1
19	не было бы	5	1
20	нужно сказать что	1	1
21	можно было бы	1	1
22	может быть и	1	1
23	для того чтобы	2	1
24	на том основании	2	1
25	быть и речи	1	1
26	и вместе с	4	1
27	в этот момент	1	1
28	прежде всего в	2	1
29	не мог бы	1	1
30	и уж конечно	2	1
31	в разных местах	1	1
32	том основании что	2	1
33	быть может в	1	1
34	и никогда не	1	1
35	выходит за пределы	1	1
36	но не менее	1	1
