N	3gram	Tiupa_Vved_1	Komedia
1	в том что	3	9
2	в свою очередь	4	6
3	в то же	4	4
4	о том что	4	4
5	то же время	3	4
6	к тому же	4	4
7	если бы он	1	3
8	по отношению к	7	3
9	о том как	1	3
10	судя по всему	1	3
11	в связи с	1	3
12	во всяком случае	1	3
13	и в самом	1	3
14	речь идет о	1	3
15	с одной стороны	5	3
16	тем не менее	3	3
17	то же самое	1	3
18	иначе обстоит дело	1	2
19	хотя и не	1	2
20	состоит в том	2	2
21	в этом случае	1	2
22	в этом отношении	4	2
23	с другой стороны	1	2
24	в конечном счете	1	2
25	на этот раз	1	2
26	однако и в	1	1
27	как уже говорилось	1	1
28	более или менее	2	1
29	подобно тому как	2	1
30	в том числе	1	1
31	в ответ на	1	1
32	в соответствии с	6	1
33	так и не	1	1
34	одной стороны и	1	1
35	событие о котором	1	1
36	и в то	1	1
37	в зависимости от	1	1
38	но в этот	1	1
39	не было и	1	1
40	в отличие от	2	1
41	отнюдь не является	1	1
42	к точке зрения	1	1
43	на то что	1	1
44	не о чем	1	1
45	может быть только	1	1
46	по крайней мере	1	1
47	утра до вечера	1	1
48	едва ли не	2	1
49	в настоящее время	1	1
50	в том чтобы	2	1
51	в первом случае	1	1
52	основания полагать что	1	1
53	который в свою	1	1
54	не сводится к	4	1
55	к себе в	1	1
56	но при этом	2	1
57	и в пределах	1	1
58	таким образом для	1	1
59	это не так	1	1
60	то что он	1	1
61	из них не	1	1
62	как бы в	1	1
63	об этом и	1	1
64	и для нас	1	1
65	можно сказать что	1	1
66	в основе своей	1	1
67	если говорить о	1	1
68	по своему происхождению	1	1
69	с утра до	1	1
70	к этому времени	1	1
71	друг от друга	1	1
72	и в этом	1	1
73	но если бы	1	1
74	в том же	1	1
75	том числе и	1	1
