N	2gram	Bakhtin_Pr_5	Retstnzi
1	не может	18	4
2	и в	35	3
3	в центре	1	2
4	один из	1	2
5	достоевского и	2	2
6	нет и	4	1
7	в особенности	1	1
8	и не	27	1
9	можно и	1	1
10	тому что	2	1
11	не только	10	1
12	ни один	1	1
13	связи с	1	1
14	бы на	1	1
15	событий и	1	1
16	точки зрения	7	1
17	конечно и	1	1
18	но и	14	1
19	и должно	1	1
20	и заставляет	1	1
21	не менее	2	1
22	с другими	2	1
23	тех же	1	1
24	именно с	1	1
25	по своим	1	1
26	в ней	2	1
27	может и	1	1
28	с теми	1	1
29	в то	11	1
30	с точки	2	1
31	и на	6	1
32	первая часть	1	1
33	для него	14	1
34	и больше	1	1
35	на нее	2	1
36	к тому	6	1
37	а не	4	1
38	может быть	14	1
39	вполне понятно	2	1
40	в его	21	1
41	он в	4	1
42	же время	10	1
43	то же	15	1
44	и все	15	1
45	если бы	1	1
46	в каждом	6	1
47	бы в	4	1
