N	2gram	Tiupa_Hudo_1	Hudozhes
1	и в	19	28
2	в рассказе	3	21
3	том что	8	19
4	в ее	5	18
5	и не	15	18
6	своего рода	5	16
7	в том	18	15
8	а не	9	14
9	в этом	11	13
10	не в	7	13
11	о том	2	12
12	перед нами	1	11
13	не только	16	11
14	при этом	13	11
15	как и	2	11
16	в его	9	11
17	у нее	1	10
18	уже не	4	10
19	не случайно	3	10
20	с собачкой	1	9
21	в себе	9	9
22	но и	10	9
23	внешней данности	5	8
24	так и	11	8
25	между тем	4	8
26	что он	3	8
27	себя в	7	8
28	в жизни	2	8
29	в душе	8	8
30	может быть	14	8
31	о чем	2	8
32	я не	2	7
33	внутренней заданности	4	7
34	по отношению	9	7
35	тогда как	13	7
36	что она	2	7
37	состоит в	16	7
38	в мире	21	7
39	об этом	2	7
40	к тому	4	7
41	в частности	13	7
42	как это	5	7
43	с ним	2	7
44	жизни в	2	7
45	отношению к	9	7
46	я и	7	6
47	в котором	1	6
48	то же	10	6
49	не было	1	6
50	в своей	5	6
51	в то	6	6
52	тем что	1	6
53	казалось бы	1	6
54	для себя	2	6
55	если бы	3	6
56	сводится к	7	6
57	можно сказать	5	6
58	это не	2	6
59	человеческой жизни	2	6
60	а в	12	6
61	то что	4	6
62	жизни и	1	6
63	жизни как	3	5
64	с его	6	5
65	в этой	2	5
66	как в	2	5
67	в самом	5	5
68	что это	1	5
69	не могла	1	5
70	рядом с	1	5
71	в своем	2	5
72	не менее	3	5
73	у него	1	5
74	никогда не	2	5
75	в тексте	9	5
76	и его	12	5
77	и сам	1	5
78	одно из	2	5
79	для него	4	5
80	художественного целого	3	5
81	как бы	9	5
82	с ее	5	5
83	что в	6	5
84	и другие	2	5
85	но не	11	4
86	своей жизни	2	4
87	в художественном	4	4
88	то в	2	4
89	подобно тому	1	4
90	он не	4	4
91	тем не	3	4
92	тому что	2	4
93	человеческого я	3	4
94	же время	5	4
95	внутренней жизни	1	4
96	как будто	1	4
97	и о	3	4
98	того чтобы	2	4
99	в конечном	5	4
100	личной тайной	1	4
101	вслед за	1	4
102	что они	1	4
103	в миропорядке	8	4
104	только в	5	4
105	в качестве	24	4
106	что и	2	4
107	как раз	3	4
108	для того	2	4
109	говорит о	1	4
110	превращается в	2	4
111	не может	7	4
112	тому как	1	4
113	о своем	1	4
114	бы и	1	4
115	была бы	3	3
