N	2gram	Voloshinov_1	Russkaja
1	не может	4	22
2	и не	1	19
3	и в	3	14
4	то же	1	11
5	точки зрения	1	11
6	в то	1	10
7	же время	1	10
8	но и	1	10
9	не только	1	9
10	с точки	1	9
11	может быть	1	9
12	к тому	1	7
13	если в	2	6
14	если бы	1	6
15	для него	1	6
16	и на	1	5
17	в его	1	4
18	из этих	1	3
19	несмотря на	1	3
20	связи с	1	3
21	может не	1	3
22	себя от	1	3
23	в ней	1	2
24	тому что	1	2
25	и должно	1	2
26	а не	1	2
27	тех же	1	1
28	права и	1	1
29	удовлетворить не	1	1
30	событий и	1	1
31	это направление	1	1
32	ни один	1	1
33	ставить в	1	1
34	чужд и	1	1
35	с другими	1	1
36	нет и	1	1
37	бы на	1	1
38	не менее	1	1
39	именно с	1	1
40	деятельности в	1	1
41	один из	2	1
42	может спасти	1	1
43	по своим	1	1
44	сил которые	1	1
45	ничего кроме	1	1
46	бы в	1	1
47	и все	1	1
48	может и	1	1
49	можно назвать	1	1
