N	2gram	Tiupa_Hudo_1	Tragedij
1	и в	14	18
2	в романе	1	10
3	в этом	11	9
4	не только	12	8
5	он сам	1	7
6	и с	4	7
7	и на	3	7
8	может быть	5	7
9	как бы	7	7
10	и не	2	7
11	но в	5	6
12	и его	5	6
13	в образе	1	6
14	же время	8	6
15	что он	9	6
16	у него	9	6
17	то же	9	5
18	все же	3	5
19	он вдруг	1	5
20	это не	7	5
21	как и	9	5
22	несмотря на	4	5
23	в то	8	5
24	в дальнейшем	1	5
25	так и	13	5
26	это очень	1	5
27	не может	7	5
28	к жизни	5	5
29	он всегда	1	4
30	я не	1	4
31	еще не	7	4
32	в себе	11	4
33	в целом	2	4
34	в этой	8	4
35	в нем	3	4
36	об этом	5	4
37	том что	16	4
38	что я	2	4
39	и что	2	4
40	но и	5	4
41	и даже	3	4
42	прежде всего	11	4
43	но это	1	4
44	все это	2	4
45	что в	6	4
46	и все	4	4
47	то что	8	4
48	достоевского в	1	3
49	в мире	3	3
50	и он	5	3
51	своего рода	7	3
52	отнюдь не	3	3
53	как в	8	3
54	в своем	4	3
55	и как	1	3
56	все эти	3	3
57	при этом	12	3
58	должно быть	2	3
59	тем самым	1	3
60	о чем	1	3
61	в поле	1	3
62	с ее	2	3
63	мог бы	1	3
64	жизнь и	1	3
65	с ним	4	3
66	на страницах	1	3
67	в его	8	3
68	один из	4	3
69	романа и	1	3
70	уже в	1	3
71	для него	10	3
72	в конце	4	3
73	как будто	4	3
74	как это	1	3
75	в первом	1	2
76	и до	1	2
77	и за	1	2
78	а как	1	2
79	отказывается от	1	2
80	никогда не	6	2
81	и то	1	2
82	и личность	2	2
83	столь же	4	2
84	с его	5	2
85	отношение к	1	2
86	отличие от	1	2
87	тут же	1	2
88	так что	2	2
89	и я	1	2
90	о жизни	1	2
91	она как	1	2
92	это был	1	2
93	перед нами	5	2
94	я к	1	2
95	в самом	4	2
96	в письмах	1	2
97	то и	3	2
98	жизнью и	2	2
99	он не	4	2
100	что она	4	2
101	но все	1	2
102	что все	1	2
103	его в	3	2
104	в глазах	6	2
105	в это	2	2
106	к области	1	2
107	ни в	5	2
108	с тем	1	2
109	не мог	1	2
110	в ходе	3	2
111	в отличие	1	2
112	вопрос о	2	2
113	не в	7	2
114	что этот	1	2
115	вместе со	1	2
116	раз и	1	2
117	но они	1	2
118	этими двумя	1	2
119	одна из	2	2
120	не имеет	2	2
121	не могут	1	2
122	он и	1	2
123	к тому	7	2
124	и это	4	2
125	но при	1	2
126	в ее	3	2
127	данном случае	1	2
128	раз он	1	2
129	еще в	3	2
130	как у	1	2
131	ничего не	8	2
132	лицо его	1	2
133	о том	12	2
134	в том	12	2
135	по мнению	5	2
136	между этими	1	2
137	и ее	1	2
138	человеческой личности	1	2
139	на всем	1	2
140	уже не	7	2
141	в одном	1	2
142	друг друга	5	2
143	не случайно	7	2
144	тем что	3	2
145	писателя и	1	2
146	в самую	1	2
147	говорит о	1	2
148	до конца	2	2
149	ничем не	3	2
150	в рассказе	11	2
151	в данном	1	2
152	устремлен к	1	2
153	еще раз	2	2
154	потому что	5	2
155	личности и	2	2
156	в частности	5	2
157	только о	1	2
158	русской литературы	1	2
159	в таком	3	2
160	собрания сочинений	1	1
161	я и	2	1
162	а между	1	1
163	ли мы	1	1
164	и т	11	1
165	например в	2	1
166	в сфере	1	1
167	я его	1	1
168	человека и	1	1
169	отметим что	2	1
170	и др	1	1
171	самом деле	5	1
172	к своей	1	1
173	это и	1	1
174	что когда	2	1
175	смысл этого	1	1
176	на две	1	1
177	проникает в	1	1
178	исходит из	1	1
179	высшей степени	1	1
180	мать и	1	1
181	века в	1	1
182	и беспокойно	1	1
183	той же	2	1
184	на пороге	1	1
185	что уже	1	1
186	в становлении	1	1
187	по определению	1	1
188	вместо того	2	1
189	событий и	1	1
190	ему в	1	1
191	а теперь	1	1
192	в виду	1	1
193	в сцене	1	1
194	жизни столь	1	1
195	в ней	4	1
196	ему хотелось	1	1
197	в xix	1	1
198	литературы и	1	1
199	и служит	1	1
200	в чем	1	1
201	во всех	1	1
202	году по	1	1
203	у которой	2	1
204	но не	3	1
205	отказ от	2	1
206	но как	2	1
207	в противовес	2	1
208	свою жизнь	1	1
209	с совершенно	1	1
210	тогда как	7	1
211	друга и	1	1
212	в настоящем	1	1
213	к сожалению	1	1
214	тебе и	2	1
215	чем же	1	1
216	в центре	4	1
217	вот я	1	1
218	что именно	1	1
219	вот как	1	1
220	своей и	1	1
221	напомним что	2	1
222	и хотя	1	1
223	и дочери	1	1
224	то в	4	1
225	за свои	1	1
226	со своей	1	1
227	в которой	1	1
228	он в	1	1
229	бы не	1	1
230	имеет для	1	1
231	только один	1	1
232	как он	2	1
233	не могла	1	1
234	жизни ее	1	1
235	вообще не	1	1
236	три года	1	1
237	по-видимому не	2	1
238	так сказать	2	1
239	одному из	1	1
240	пушкина и	1	1
241	этого характера	1	1
242	чем у	1	1
243	его самого	1	1
244	к одному	1	1
245	не как	1	1
246	душу и	1	1
247	содержит в	1	1
248	никому не	1	1
249	и по	3	1
250	на этом	3	1
251	на свете	1	1
252	от нее	1	1
253	личностей не	1	1
254	же не	1	1
255	за то	1	1
256	в другом	2	1
257	единственное что	1	1
258	в финале	3	1
259	на собаку	1	1
260	лишь в	3	1
261	быть не	1	1
262	на свои	1	1
263	этом мы	1	1
264	но уже	1	1
265	в чьем	1	1
266	он же	1	1
267	достоевского и	1	1
268	в высшей	1	1
269	этого персонажа	1	1
270	героини в	1	1
271	этого не	1	1
272	а за	1	1
273	со своими	1	1
274	которой он	1	1
275	говорится о	2	1
276	с такой	1	1
277	выражение из	1	1
278	и прямо	1	1
279	перед собой	2	1
280	в своей	10	1
281	этой связи	4	1
282	в такой	2	1
283	во времена	1	1
284	если можно	2	1
285	человеком и	1	1
286	не столько	2	1
287	не тип	1	1
288	и вот	1	1
289	но он	3	1
290	тем не	4	1
291	с такими	2	1
292	на всю	1	1
293	возвращается к	3	1
294	по себе	2	1
295	тому что	4	1
296	не менее	5	1
297	вплоть до	1	1
298	не раз	2	1
299	на работу	1	1
300	что эта	1	1
301	она не	4	1
302	на земле	1	1
303	самого начала	1	1
304	как его	3	1
305	например что	1	1
306	облекается в	1	1
307	без конца	1	1
308	не вызывает	1	1
309	нельзя ли	1	1
310	упоминается в	1	1
311	только не	1	1
312	как во	1	1
313	этими словами	1	1
314	и всегда	1	1
315	в самой	1	1
316	м м	3	1
317	нечто большее	1	1
318	или как	1	1
319	по своей	4	1
320	мог вспомнить	1	1
321	для нас	1	1
322	особое значение	1	1
323	связи с	4	1
324	что на	2	1
325	перед ним	1	1
326	это могло	1	1
327	в трагедии	1	1
328	xx века	1	1
329	по нашему	2	1
330	к себе	5	1
331	мы узнаем	4	1
332	он бы	1	1
333	могут быть	1	1
334	уже было	1	1
335	и чужой	1	1
336	что оно	1	1
337	за что	1	1
338	и т.д	1	1
339	не случайное	1	1
340	мнению л	1	1
341	что при	3	1
342	как мы	3	1
343	и о	4	1
344	жизни перед	1	1
345	у себя	2	1
346	того чтобы	3	1
347	и думать	1	1
348	с самого	1	1
349	он понял	1	1
350	говорили что	1	1
351	роль в	1	1
352	человека с	1	1
353	в лицо	1	1
354	в столкновение	2	1
355	вспомнить о	1	1
356	можно было	5	1
357	на нее	1	1
358	в последующих	1	1
359	во многом	1	1
360	когда его	1	1
361	когда в	1	1
362	за этими	2	1
363	на них	1	1
364	быть может	7	1
365	была его	1	1
366	на вопрос	2	1
367	но мы	1	1
368	в смерти	1	1
369	в рассказчике	1	1
370	в исповеди	1	1
371	с того	2	1
372	а также	3	1
373	толстой и	1	1
374	нет это	1	1
375	от него	3	1
376	восходит к	1	1
377	все в	1	1
378	когда идет	1	1
379	человека именно	1	1
380	романа как	1	1
381	между тем	8	1
382	в форме	2	1
383	не сводится	1	1
384	романа в	3	1
385	к личности	1	1
386	и она	1	1
387	в жизнь	1	1
388	х годов	1	1
389	в литературе	3	1
390	того что	4	1
391	казалось что	1	1
392	и дело	2	1
393	согласиться с	2	1
394	с ними	2	1
395	только в	5	1
396	приходит в	2	1
397	с одной	1	1
398	именно на	1	1
399	есть в	1	1
400	характер ее	2	1
401	этого мотива	1	1
402	произведений писателя	1	1
403	так можно	1	1
404	только на	2	1
405	самую суть	1	1
406	что-то необыкновенное	1	1
407	может случиться	1	1
408	был прав	1	1
409	в общем	1	1
410	на столе	2	1
411	характерно что	1	1
412	одно из	1	1
413	всяком случае	1	1
414	могло бы	1	1
415	слова в	2	1
416	т п	8	1
417	они сами	1	1
418	ее не	1	1
419	в такое	1	1
420	в xx	1	1
421	жизни на	2	1
422	рядом с	1	1
423	в особенности	1	1
424	никого не	1	1
425	пафос его	1	1
426	даже не	1	1
427	с другим	2	1
428	именно в	7	1
429	что не	2	1
430	объясняется тем	1	1
431	обратиться к	1	1
432	не было	4	1
433	и стал	1	1
434	нашему мнению	1	1
435	а не	12	1
436	не я	1	1
437	не смог	1	1
438	перчатки и	1	1
439	в связи	3	1
440	себя на	1	1
441	н толстой	1	1
442	о себе	1	1
443	эти слова	2	1
444	и потому	2	1
445	в духе	4	1
446	в человеке	2	1
447	не из	1	1
448	xix века	1	1
449	видит в	3	1
450	в романах	1	1
451	столкновение с	2	1
452	выражение лица	1	1
453	матери и	2	1
454	думать о	2	1
455	который он	1	1
456	с этой	2	1
457	вопреки этой	1	1
458	и от	4	1
459	известной степени	1	1
460	при таком	1	1
461	только теперь	1	1
462	в результате	2	1
463	писателя но	1	1
464	в двух	1	1
465	о нем	3	1
466	бы в	1	1
467	у которого	1	1
468	но у	1	1
469	конце концов	1	1
470	хотя бы	1	1
471	только что	4	1
472	он непременно	1	1
473	я в	1	1
474	сказал что	1	1
475	к ее	1	1
476	еще ничего	1	1
477	жизни в	6	1
478	к числу	1	1
479	л н	5	1
480	героя и	5	1
481	необходимое условие	1	1
482	интересу к	1	1
483	т е	4	1
484	из романа	1	1
485	в голову	1	1
486	но еще	2	1
487	к этой	3	1
488	разговоре с	1	1
489	и эта	1	1
490	это в	3	1
491	во всяком	1	1
