N	3gram	Medvedev_F_3	Tvorches
1	и т д	6	11
2	то же время	7	7
3	в то же	7	7
4	по отношению к	3	3
5	до сих пор	1	3
6	не может быть	14	3
7	в самом деле	4	2
8	в одной из	1	2
9	и не может	4	2
10	в таком случае	1	2
11	и в то	2	2
12	в отличие от	2	2
13	именно в этом	1	2
14	так же как	1	2
15	в том же	1	2
16	во всяком случае	6	2
17	с другой стороны	5	2
18	так и в	2	2
19	и т п	5	2
20	о том что	1	2
21	в том что	3	2
22	это связано с	1	1
23	нет и не	2	1
24	хотя и не	1	1
25	не менее важна	1	1
26	дело в том	2	1
27	никогда не является	1	1
28	в том числе	1	1
29	можно говорить лишь	1	1
30	о том как	2	1
31	может и не	1	1
32	в нем и	2	1
33	может быть определен	1	1
34	сами по себе	2	1
35	отнюдь не сводится	1	1
36	можно было бы	1	1
37	понять его в	1	1
38	но уже в	2	1
39	со всех сторон	1	1
40	то или иное	2	1
41	так сказать в	1	1
42	художественного произведения как	1	1
43	но в таком	1	1
44	и что в	1	1
45	только то что	2	1
46	не сводится к	1	1
47	но при этом	1	1
48	в литературу как	1	1
49	так и не	1	1
50	той или иной	1	1
51	в связи с	4	1
52	может быть понята	1	1
53	это не значит	1	1
54	в виду что	1	1
55	в роман и	1	1
56	потому что они	1	1
57	того или иного	1	1
58	что он был	1	1
59	в нем нет	1	1
60	том что этот	1	1
61	мы не можем	2	1
62	другой стороны и	1	1
63	которые сами по	1	1
64	и никогда не	1	1
65	с самого начала	1	1
66	но отнюдь не	1	1
67	в частности в	1	1
68	именно потому что	2	1
69	том числе и	1	1
70	и в литературе	1	1
71	это не просто	1	1
72	и в том	1	1
73	в конце жизни	1	1
74	героя и его	1	1
75	и между ними	2	1
76	и вообще все	1	1
77	в высшей степени	2	1
78	как и в	1	1
79	положение нуждается в	1	1
