N	3gram	Voloshinov_1	Tragedij
1	то же время	7	5
2	в то же	9	5
3	но в то	2	2
4	и как бы	1	2
5	бросается в глаза	1	2
6	между этими двумя	1	2
7	о том что	2	2
8	но все же	2	2
9	в том что	1	2
10	в этом случае	3	1
11	что это значит?	1	1
12	не только о	1	1
13	и не может	1	1
14	хотя бы и	1	1
15	в той же	3	1
16	в нем ничего	1	1
17	это как бы	1	1
18	ничего не значит	1	1
19	выходящее за пределы	1	1
20	в конце концов	3	1
21	смысле этого слова	2	1
22	ответа на вопрос	1	1
23	но при этом	2	1
24	и в этом	1	1
25	по сравнению с	1	1
26	и при этом	1	1
27	тем не менее	1	1
28	которой не может	1	1
29	в связи с	2	1
30	он сказал что	1	1
31	сильнее и сильнее	1	1
32	но уже не	1	1
33	не может быть	2	1
34	уже не к	1	1
35	на вопрос о	1	1
36	и все же	1	1
37	отнюдь не является	1	1
38	с самого начала	4	1
39	не только не	1	1
40	отнюдь не был	1	1
41	мысль о том	1	1
42	в самом деле	1	1
43	все сильнее и	1	1
44	с тем и	2	1
45	к тому что	2	1
46	значение выходящее за	1	1
47	друг друга и	1	1
48	как и в	1	1
49	в разговоре с	1	1
