N	2gram	Losev_Dial_1	Komedia
1	и в	18	22
2	т е	25	13
3	том что	9	12
4	в том	9	11
5	но и	7	11
6	в то	6	10
7	не только	13	10
8	из них	2	10
9	как и	2	9
10	и т	21	9
11	может быть	17	9
12	таким образом	1	8
13	в облаках	2	8
14	и не	30	8
15	и его	1	8
16	о том	4	8
17	в этой	1	7
18	и других	1	7
19	в которой	1	6
20	в конце	4	6
21	а в	5	6
22	не в	6	6
23	в отношении	5	6
24	что в	13	6
25	то же	10	6
26	к тому	4	6
27	тому же	2	6
28	ни в	15	6
29	что он	11	6
30	и по	1	6
31	о которых	2	5
32	т п	2	5
33	так и	9	5
34	потому что	14	5
35	между тем	1	5
36	и даже	13	5
37	в его	3	5
38	прежде всего	10	5
39	нового времени	1	5
40	один из	3	5
41	другой стороны	4	5
42	при этом	1	5
43	с другой	6	5
44	то время	1	5
45	все это	11	5
46	уже в	1	5
47	как в	2	5
48	еще в	1	5
49	и вот	6	4
50	же время	4	4
51	в другом	2	4
52	конце концов	3	4
53	т д	19	4
54	время как	2	4
55	точки зрения	17	4
56	в нем	16	4
57	так в	1	4
58	в их	3	4
59	к этому	2	4
60	но в	6	4
61	как мы	4	4
62	в качестве	2	4
63	можно судить	1	4
64	что они	3	4
65	в котором	4	4
66	ясно что	8	4
67	именно в	2	4
68	что и	3	4
69	мы можем	4	4
70	в результате	1	4
71	несмотря на	10	4
72	а также	1	4
73	так как	11	4
74	главным образом	1	3
75	первую очередь	1	3
76	все же	5	3
77	и с	5	3
78	вопрос о	2	3
79	хотя и	4	3
80	место в	1	3
81	так же	4	3
82	перед лицом	1	3
83	чаще всего	2	3
84	не менее	2	3
85	и все	3	3
86	на то	5	3
87	в виде	2	3
88	и у	2	3
89	всего в	1	3
90	в сознании	3	3
91	как раз	4	3
92	даже в	3	3
93	мы не	1	3
94	как это	4	3
95	отношение к	5	3
96	могут быть	3	3
97	на всю	4	3
98	его в	1	3
99	в образе	1	3
100	здесь мы	1	3
101	здесь в	2	3
102	как из	1	3
103	и сам	1	3
104	в этом	12	3
105	в чем	6	3
106	и о	3	3
107	да и	6	3
108	и еще	3	3
109	ничего не	17	3
110	только в	3	3
111	новое время	1	3
112	в них	3	3
113	одной стороны	2	3
114	у него	1	3
115	же как	2	3
116	того как	1	3
117	с одной	2	3
118	этом отношении	2	3
119	он не	3	3
120	на сцене	1	3
121	в частности	2	3
122	и как	7	3
123	речь идет	1	3
124	мы найдем	1	2
125	и из	3	2
126	точек зрения	3	2
127	почти не	2	2
128	что по	1	2
129	в себе	11	2
130	для ее	1	2
131	вывод что	1	2
132	во всяком	4	2
133	если они	1	2
134	но он	1	2
135	в противоположность	5	2
136	по одному	1	2
137	в состоянии	1	2
138	не может	12	2
139	даже не	3	2
140	еще и	3	2
141	для них	1	2
142	вовсе не	7	2
143	вслед за	2	2
144	где он	1	2
145	в первую	2	2
146	к нему	8	2
147	сих пор	2	2
148	связанные с	2	2
149	и самого	1	2
150	до сих	2	2
151	и без	1	2
152	то и	2	2
153	наряду с	1	2
154	между прочим	1	2
155	ли это	3	2
156	правда в	1	2
157	совсем не	1	2
158	чем же	1	2
159	по своей	1	2
160	но не	4	2
161	раз на	1	2
162	вместе с	1	2
163	только один	1	2
164	почти всегда	4	2
165	что касается	2	2
166	и притом	4	2
167	к ней	4	2
168	и можно	1	2
169	только что	3	2
170	времени и	1	2
171	то что	13	2
172	мог бы	2	2
173	для исследования	1	2
174	что у	1	2
175	даже если	3	2
176	в силу	1	2
177	на нем	2	2
178	относится к	2	2
179	всяком случае	2	2
180	в новое	1	2
181	тем не	1	2
182	в государстве	1	2
183	или менее	3	2
184	из других	1	2
185	или по	2	2
186	для этого	2	2
187	и тем	1	2
188	на те	1	2
189	ни было	2	2
190	на этом	2	2
191	в самом	3	2
192	такой же	2	2
193	и чаще	1	2
194	как известно	1	2
195	этим и	1	2
196	еще не	2	2
197	не к	1	2
198	столь же	1	2
199	одну из	1	2
200	же самое	1	2
201	все что	1	2
202	на себя	1	2
203	было бы	12	2
204	как будто	1	2
205	со стороны	2	2
206	власть в	1	2
207	а то	1	2
208	или может	1	2
209	указывает на	3	2
210	об отношении	5	2
