N	2gram	Medvedev_S_1	FransuaR
1	и в	3	40
2	и его	1	17
3	прежде всего	1	16
4	в этом	5	15
5	не только	3	13
6	в его	3	13
7	и не	1	13
8	вовсе не	1	12
9	что в	2	12
10	как и	1	11
11	но и	2	11
12	таким образом	2	10
13	в сущности	1	9
14	в них	1	9
15	может быть	2	9
16	все эти	1	8
17	в том	5	8
18	у него	1	8
19	то же	2	7
20	в этих	1	6
21	в то	1	6
22	же время	1	6
23	связи с	1	6
24	мы еще	1	6
25	он говорит	1	6
26	в своей	1	6
27	те же	1	5
28	то что	2	5
29	не было	1	5
30	в связи	1	5
31	в мире	1	4
32	было бы	2	4
33	том что	2	4
34	даже в	1	4
35	в области	1	4
36	о том	1	4
37	и о	1	4
38	один из	1	4
39	и потому	1	4
40	в данном	1	4
41	все это	7	4
42	в заключение	1	4
43	и есть	1	3
44	только для	1	3
45	по отношению	2	3
46	в этой	1	3
47	и как	1	3
48	и наконец	1	3
49	но ведь	3	3
50	но именно	1	3
51	для этого	1	3
52	в таких	1	3
53	дело не	2	3
54	и стиля	1	3
55	никак не	1	3
56	связь между	1	3
57	между тем	1	3
58	еще не	2	3
59	только в	2	3
60	так и	1	3
61	в конце	2	3
62	тем что	1	3
63	в частности	2	3
64	не может	1	3
65	как бы	2	3
66	а в	1	3
67	между ними	1	3
68	они не	1	3
69	это и	2	2
70	тем же	1	2
71	мы не	1	2
72	хотя бы	1	2
73	но не	1	2
74	что он	1	2
75	все же	1	2
76	в целом	1	2
77	это вовсе	1	2
78	далеко не	2	2
79	очень далеки	1	2
80	в котором	1	2
81	далеки от	1	2
82	представляется нам	1	2
83	образом в	1	2
84	с другой	1	2
85	это не	1	2
86	но как	1	2
87	конечно не	1	2
88	него и	1	2
89	именно в	1	2
90	еще и	1	2
91	с помощью	1	2
92	теперь он	1	2
93	все то	1	2
94	отношению к	2	2
95	реализма и	1	2
96	том именно	1	1
97	вряд ли	1	1
98	на тех	1	1
99	литературы и	2	1
100	между собой	1	1
101	не исчерпываются	1	1
102	способен ни	1	1
103	перед нами	1	1
104	метод в	4	1
105	что это	1	1
106	право на	1	1
107	и по	1	1
108	главным образом	2	1
109	на все	1	1
110	его в	1	1
111	произведение как	1	1
112	переходим к	1	1
113	остается в	1	1
114	на первый	1	1
115	именно и	1	1
116	первый план	1	1
117	не в	3	1
118	и более	1	1
119	по себе	1	1
120	тому что	1	1
121	от догматизма	1	1
122	ничего не	1	1
123	должны служить	1	1
124	но только	1	1
125	никогда не	1	1
126	использовав для	1	1
127	от окружающих	1	1
128	как будто	2	1
129	что на	1	1
130	наконец в	1	1
131	бы он	1	1
132	они ни	1	1
133	изучения и	1	1
134	только то	1	1
135	том как	1	1
136	целом все	1	1
137	на что	1	1
138	с ним	1	1
139	тех кто	1	1
140	настоящее время	1	1
141	и что	2	1
142	положительное и	1	1
143	не выходит	1	1
144	на отдельные	1	1
145	для изучения	1	1
146	этих вопросов	1	1
147	и только	3	1
148	в него	1	1
149	это наиболее	1	1
150	стиль в	1	1
151	с одной	1	1
152	в виде	1	1
153	входящие в	1	1
154	всяком случае	1	1
155	ведь это	2	1
156	как же	3	1
157	отнюдь не	1	1
158	в строгом	1	1
159	в любой	1	1
160	правда он	1	1
161	в смысле	2	1
162	в результате	2	1
163	это как	1	1
164	в настоящее	1	1
165	пришлось бы	1	1
166	несколько упрощенно	1	1
167	во всяком	1	1
