N	2gram	Vygotskiy__1	ViktorSh
1	в книге	2	3
2	конце концов	3	2
3	и в	31	2
4	том что	16	2
5	в том	30	2
6	в конце	3	2
7	в шкловский	1	2
8	и только	3	1
9	все дело	2	1
10	под влиянием	3	1
11	и том	1	1
12	хотя бы	1	1
13	и не	16	1
14	все время	4	1
15	и его	7	1
16	потому что	10	1
17	я не	1	1
18	сводится к	1	1
19	хотел сказать	2	1
20	и изменяется	1	1
21	и то	2	1
22	хочу сказать	1	1
23	поэтического творчества	1	1
24	расположения и	1	1
25	самом деле	9	1
26	веселовский с	1	1
27	к расположению	2	1
28	к созданию	1	1
29	все это	8	1
30	положений которые	1	1
31	совершенно ясно	19	1
32	от других	2	1
33	по поводу	2	1
34	именно в	1	1
35	главным образом	2	1
36	в их	1	1
37	то чего	1	1
38	теории литературы	1	1
39	дело в	1	1
40	в частности	3	1
41	одно и	1	1
42	все то	3	1
43	столь же	4	1
44	время в	1	1
45	говоря о	1	1
46	в которых	3	1
47	в значительной	1	1
48	материалов и	1	1
49	в самом	11	1
50	только в	14	1
51	то же	5	1
52	ясно что	19	1
53	так как	18	1
54	далеко не	2	1
55	и составляет	2	1
56	чем к	1	1
57	к чему	2	1
58	другое дело	1	1
59	но это	3	1
60	в этом	12	1
61	одном и	1	1
62	и самым	2	1
63	находится под	1	1
64	а только	2	1
65	и заключается	1	1
66	по существу	4	1
67	то я	2	1
68	к этому	4	1
69	не хотел	1	1
70	гораздо более	2	1
71	том же	2	1
