N	3gram	Vinokur_Vv_1	RusskieA
1	в том что	12	18
2	состоит в том	2	13
3	в этом случае	6	6
4	в данном случае	4	6
5	для того чтобы	21	6
6	т е в	4	5
7	и т д	37	5
8	вместе с тем	3	4
9	так же как	1	4
10	о том что	12	4
11	в этих случаях	2	3
12	в отличие от	3	3
13	в xix в	1	3
14	не может быть	8	3
15	подобно тому как	1	3
16	только тогда когда	1	3
17	тем не менее	8	2
18	во многих случаях	1	2
19	что иное как	4	2
20	не что иное	4	2
21	в том чтобы	5	2
22	но вместе с	2	2
23	после того как	2	2
24	по этому поводу	2	2
25	с одной стороны	4	2
26	а именно в	1	2
27	в другом месте	2	1
28	том что в	1	1
29	а между тем	1	1
30	потому что он	2	1
31	а это в	1	1
32	потому что в	1	1
33	показывает что в	1	1
34	в настоящее время	1	1
35	это в свою	1	1
36	т е не	2	1
37	в том же	1	1
38	следует представлять себе	1	1
39	как раз наоборот	1	1
40	в точности соответствует	1	1
41	но и в	1	1
42	не следует представлять	1	1
43	а так как	2	1
44	в этом отношении	3	1
45	из того что	1	1
46	xix в и	1	1
47	что чем больше	1	1
48	можно было бы	3	1
49	все же в	1	1
50	смотрят на нее	1	1
51	но и как	1	1
52	xix в в	2	1
53	может быть и	2	1
54	ставит себе целью	1	1
55	одна из наиболее	1	1
56	при этом говорит	1	1
57	в применении к	6	1
58	может быть не	1	1
59	во всяком случае	3	1
60	наблюдения и выводы	1	1
61	смысле этого слова	2	1
62	и в этом	3	1
63	не только как	3	1
64	т е на	1	1
65	дело в том	2	1
66	одним из самых	1	1
67	с другой стороны	5	1
68	и в том	3	1
69	все то что	1	1
70	при более широком	1	1
71	направление в изучении	1	1
72	это еще не	2	1
73	нужно было бы	1	1
74	имея в виду	1	1
75	т д а	2	1
76	в свою очередь	1	1
77	себе целью раскрыть	1	1
78	к этому времени	2	1
79	к выводу что	5	1
80	можно сказать что	3	1
81	так как эти	1	1
82	вопрос о том	5	1
83	как мы уже	1	1
84	отличие от других	1	1
85	дело не в	1	1
86	также в том	1	1
87	мы уже знаем	1	1
88	как мы видели	2	1
89	которое в этих	1	1
