N	4gram	Bakhtin_Pr_1	Vvedenie
1	в то же время	7	6
2	но в то же	2	3
3	в том отношении что	1	3
4	заключается в том что	1	2
5	дело в том что	1	2
6	уже само по себе	1	1
7	во всяком случае не	1	1
8	в этом смысле как	1	1
9	но с другой стороны	1	1
10	с этой точки зрения	1	1
11	было до сих пор	1	1
12	в данном случае и	1	1
13	и в этом смысле	1	1
14	и не потому что	1	1
15	по отношению к нему	1	1
16	заключается в том чтобы	1	1
17	в отличие от других	1	1
18	и в этом отношении	2	1
19	бы то ни было	2	1
20	какой бы то ни	1	1
