1	и тем не менее	2	3
2	не говоря уже о	2	2
3	стать на точку зрения	1	2
4	когда мы говорим что	1	1
5	в том смысле что	1	1
6	если стать на точку	1	1
7	можно только тогда когда	2	1
8	на самом деле есть	1	1
9	для нас в данном	1	1
10	во-первых с точки зрения	1	1
11	и т д и	6	1
12	говоря уже о том	1	1
13	в первом смысле не	1	1
14	по себе ничего не	1	1
15	и в зависимости от	1	1
16	одному тому что она	1	1
17	ни в коем случае	3	1
18	нас в данном случае	1	1
19	т д и т	5	1
20	как раз из того	1	1
21	д и т д	5	1
22	с этой точки зрения	2	1
23	и в то же	1	1
24	по одному тому что	2	1
25	так то ясно что	1	1
26	уже по одному тому	2	1
27	одной и той же	1	1
28	в то же время	1	1
29	и пр и пр	1	1
30	раз из того что	1	1
31	с точки зрения чисто	1	1
32	и в вопросе о	1	1
33	уже о том что	1	1
