N	2gram	Tiupa_Hudo_2	Sovremen
1	не может	4	17
2	может быть	8	12
3	точки зрения	2	12
4	мы не	1	9
5	в каждом	1	8
6	в этом	13	7
7	и в	28	7
8	ничего не	5	6
9	как и	11	6
10	и не	18	6
11	все эти	1	5
12	что же	2	5
13	прежде всего	3	5
14	с точки	2	5
15	в условиях	1	5
16	в дальнейшем	1	4
17	нет и	1	4
18	в том	15	4
19	из них	2	4
20	же это	1	4
21	так как	1	4
22	не только	11	4
23	как бы	5	4
24	вместе с	2	4
25	это не	6	4
26	их в	1	4
27	а в	6	4
28	жизни и	6	4
29	в первом	2	3
30	с самого	1	3
31	на две	1	3
32	то же	6	3
33	и т.д	2	3
34	но мы	1	3
35	между собой	1	3
36	отнюдь не	2	3
37	у всех	3	3
38	все же	2	3
39	еще не	3	3
40	но в	2	3
41	он в	1	3
42	в этой	5	3
43	в себе	9	3
44	уже в	1	3
45	как он	3	3
46	мы получим	1	3
47	что она	7	3
48	ведь это	1	3
49	в одном	3	3
50	в конце	1	3
51	в нем	3	3
52	при этом	11	3
53	было бы	3	3
54	а не	14	3
55	и потому	1	3
56	не в	13	3
57	все это	3	3
58	самого начала	1	3
59	одна из	2	3
60	для нас	3	3
61	и все	7	3
62	и к	2	3
63	когда мы	1	3
64	отличается от	1	3
65	следующим образом	3	3
66	в области	1	3
67	как мы	2	2
68	приводит к	2	2
69	роль в	2	2
70	все те	2	2
71	той же	2	2
72	времени и	1	2
73	каждого из	1	2
74	на этом	2	2
75	и даже	1	2
76	говорить о	2	2
77	настоящее время	1	2
78	и что	1	2
79	может дать	1	2
80	вторая половина	1	2
81	самом деле	3	2
82	в его	11	2
83	быть и	1	2
84	в самом	5	2
85	по мнению	1	2
86	в которой	1	2
87	что это	5	2
88	в нашем	2	2
89	из этих	2	2
90	тот или	1	2
91	с одной	3	2
92	со всеми	1	2
93	ни одна	1	2
94	уже не	10	2
95	то и	4	2
96	так сказать	1	2
97	в виде	2	2
98	тем не	4	2
99	мы знаем	2	2
100	который как	1	2
101	у него	5	2
102	принципиально не	1	2
103	ее на	2	2
104	но все	1	2
105	то ни	1	2
106	что все	3	2
107	или иной	2	2
108	а на	1	2
109	которой он	1	2
110	мы с	3	2
111	в один	1	2
112	знаем что	1	2
113	такого рода	1	2
114	это за	1	2
115	же мы	1	2
116	не менее	5	2
117	можно назвать	1	2
118	она может	2	2
119	наблюдения и	1	2
120	в настоящее	1	2
121	этих двух	1	2
122	в третьем	1	2
123	еще более	1	2
124	теперь же	3	2
125	совершенно не	1	2
126	же самое	3	2
127	что в	5	2
128	только одну	1	2
129	в таком	1	2
130	и это	3	1
131	жизнь человека	1	1
132	человека и	3	1
133	функции в	1	1
134	с ее	5	1
135	и приписывает	1	1
136	на другой	2	1
137	ее роль	1	1
138	это и	1	1
139	но тем	2	1
140	мы имели	1	1
141	здесь и	1	1
142	за все	1	1
143	характерное для	1	1
144	отношению к	7	1
145	по преимуществу	3	1
146	в мире	7	1
147	можно было	3	1
148	мы уже	3	1
149	те же	2	1
150	мы имеем	1	1
151	же как	2	1
152	еще в	1	1
153	когда в	3	1
154	жизни было	2	1
155	смысле можно	1	1
156	это только	1	1
157	мы в	1	1
158	если бы	6	1
159	во внутреннем	1	1
160	в будущем	1	1
161	кто же	1	1
162	о том	12	1
163	в ней	3	1
164	на них	1	1
165	он сам	2	1
166	все его	3	1
167	же время	4	1
168	бы то	1	1
169	его в	2	1
170	с его	5	1
171	во всех	1	1
172	природы и	1	1
173	раз и	1	1
174	различия между	2	1
175	данном случае	2	1
176	но не	4	1
177	к этому	1	1
178	которых в	1	1
179	но как	1	1
180	точка зрения	1	1
181	перед глазами	3	1
182	если в	2	1
183	в конечном	4	1
184	во втором	2	1
185	конечном счете	3	1
186	по отношению	7	1
187	одна не	1	1
188	это сравнение	1	1
189	один и	1	1
190	которая и	1	1
191	к концу	1	1
192	все время	3	1
193	чем же	1	1
194	другой день	2	1
195	независимо от	1	1
196	к которому	1	1
197	к нему	3	1
198	более и	1	1
199	известном смысле	1	1
200	один из	2	1
201	собственно и	1	1
202	угодно и	1	1
203	одной из	3	1
204	это просто	1	1
205	ли он	2	1
206	в действительности	1	1
207	только в	4	1
208	для ее	1	1
209	за собой	1	1
210	то он	1	1
211	жизни к	1	1
