N	3gram	Vygotskiy__1	KFilosof
1	по отношению к	7	21
2	не может быть	5	11
3	с точки зрения	18	10
4	на самом деле	1	3
5	в этом смысле	1	3
6	и в этом	1	3
7	то что я	1	2
8	в соответствии с	1	2
9	лишь постольку поскольку	1	2
10	и не быть	1	2
11	бы и не	1	2
12	во всех своих	1	2
13	то же время	2	2
14	в целом и	5	2
15	той или иной	1	2
16	в то же	2	2
17	тем не менее	1	2
18	во всем его	1	2
19	в том что	15	2
20	на то что	3	1
21	а следовательно и	1	1
22	то что и	1	1
23	он должен быть	2	1
24	там где его	1	1
25	во всей полноте	1	1
26	время от времени	1	1
27	того что в	1	1
28	единство сознания и	1	1
29	потому что в	1	1
30	оставить в стороне	2	1
31	в том же	1	1
32	влечет за собой	2	1
33	по самому своему	1	1
34	как если бы	2	1
35	в зависимости от	2	1
36	по своей структуре	2	1
37	может возникнуть и	1	1
38	и именно в	1	1
39	независимо от того	2	1
40	тогда когда он	1	1
41	вместе с тем	5	1
42	и то что	1	1
43	здесь то же	1	1
44	и как бы	1	1
45	могло бы и	1	1
46	и в то	1	1
47	ту или иную	1	1
48	том что мы	1	1
49	смысле этого слова	3	1
50	в известном смысле	2	1
51	мы будем говорить	1	1
52	дело в том	1	1
53	точки зрения теоретической	1	1
54	во всяком случае	3	1
55	я не могу	2	1
56	на этом пути	1	1
57	для того чтобы	15	1
58	вместо того чтобы	2	1
59	и пр и	1	1
60	не может возникнуть	1	1
61	но для того	1	1
62	мы не можем	1	1
63	в значительной степени	2	1
64	что может быть	2	1
65	в свою очередь	3	1
66	само по себе	1	1
67	и тем самым	3	1
68	в конечном счете	1	1
69	он не имеет	1	1
70	и все остальные	1	1
71	часть нашего исследования	1	1
72	когда мы говорим	1	1
73	к тому что	3	1
74	к совершенно другому	1	1
75	по всей своей	1	1
76	в ту или	1	1
77	а именно в	1	1
78	точки зрения той	1	1
79	только тогда когда	2	1
80	то же самое	3	1
