N	3gram	Vygotskiy__6	Literetu
1	в том что	19	11
2	состоит в том	2	5
3	в отличие от	1	5
4	в данном случае	1	4
5	не только в	1	4
6	в связи с	2	4
7	по аналогии с	1	3
8	с этой точки	1	3
9	этой точки зрения	1	3
10	в том же	2	3
11	по отношению к	10	2
12	подобно тому как	1	2
13	с точки зрения	10	2
14	только в том	1	2
15	в этом отношении	3	2
16	из того что	3	2
17	и то что	2	2
18	не менее важным	1	2
19	с одной стороны	1	2
20	и тем самым	5	2
21	тем не менее	1	2
22	не в состоянии	2	1
23	в качестве своего	1	1
24	то что я	1	1
25	не удивительно поэтому	1	1
26	в последнее время	2	1
27	теми или иными	1	1
28	на самом деле	1	1
29	на то что	4	1
30	в ответ на	1	1
31	как раз и	1	1
32	имеем дело в	1	1
33	не могли быть	1	1
34	в зависимости от	5	1
35	лишь тогда когда	1	1
36	можно было бы	5	1
37	ключ к изучению	1	1
38	в лучшем случае	1	1
39	возникающее в сознании	1	1
40	то в чем	5	1
41	за собой и	1	1
42	человека в то	1	1
43	в самом деле	1	1
44	и в этом	1	1
45	а не как	1	1
46	только в силу	2	1
47	исходит из того	1	1
48	в этом и	1	1
49	с другой стороны	2	1
50	не может быть	2	1
51	тем самым к	1	1
52	едва ли не	1	1
53	на вопрос что	1	1
54	различие между ними	1	1
55	только то что	2	1
56	ничего общего с	1	1
57	по тем же	1	1
58	в свою очередь	1	1
59	и того же	4	1
60	до сих пор	3	1
61	с самого начала	7	1
62	не может стать	1	1
63	словами то что	1	1
64	удивительно поэтому что	1	1
65	одного и того	4	1
66	во второй половине	1	1
67	друг друга а	1	1
68	в том числе	1	1
69	в каком отношении	1	1
70	тех или иных	1	1
71	мы имеем дело	2	1
72	только в случае	1	1
73	как мы знаем	1	1
74	в равной мере	1	1
