N	2gram	Medvedev_S_1	Literetu
1	и не	1	22
2	в мире	1	16
3	и в	3	16
4	в этом	5	14
5	не только	3	14
6	но и	2	14
7	в том	5	12
8	может быть	2	12
9	то что	2	12
10	в частности	2	11
11	я и	1	10
12	не в	3	10
13	то же	2	9
14	так и	1	9
15	в то	1	9
16	в этой	1	8
17	том что	2	8
18	не может	1	8
19	как бы	2	8
20	в своей	1	7
21	же время	1	7
22	только в	2	7
23	еще не	2	6
24	о том	1	6
25	и его	1	6
26	в его	3	6
27	с другой	1	6
28	в целом	1	5
29	это не	1	5
30	как и	1	5
31	что он	1	5
32	именно в	1	5
33	а в	1	5
34	но не	1	4
35	по отношению	2	4
36	место в	1	4
37	даже в	1	4
38	никогда не	1	4
39	с одной	1	4
40	как будто	2	4
41	одной стороны	1	4
42	в данном	1	4
43	по существу	2	4
44	отношению к	2	4
45	отнюдь не	1	3
46	и как	1	3
47	и наконец	1	3
48	только для	1	3
49	в области	1	3
50	прежде всего	1	3
51	между тем	1	3
52	наконец в	1	3
53	это как	1	3
54	время в	1	2
55	сказать и	1	2
56	все же	1	2
57	право на	1	2
58	его в	1	2
59	было бы	2	2
60	далеко не	2	2
61	со своими	1	2
62	одно дело	2	2
63	в конце	2	2
64	по себе	1	2
65	вот в	1	2
66	же самое	1	2
67	и только	3	2
68	связи с	1	2
69	тем что	1	2
70	объекта и	1	2
71	и потому	1	2
72	быть не	1	2
73	один из	1	2
74	что в	2	2
75	еще и	1	2
76	литературоведении и	1	1
77	это и	2	1
78	и есть	1	1
79	полагает что	1	1
80	этом не	1	1
81	в чем	1	1
82	конечном счете	1	1
83	очевидно что	2	1
84	друг от	1	1
85	за пределы	2	1
86	сама по	1	1
87	что автор	1	1
88	перед нами	1	1
89	что эти	1	1
90	собой не	1	1
91	в силу	1	1
92	что без	1	1
93	существу это	1	1
94	бы они	1	1
95	на все	1	1
96	в них	1	1
97	как совокупность	1	1
98	словесного творчества	1	1
99	на этот	1	1
100	на первый	1	1
101	из понимания	1	1
102	исторической поэтики	1	1
103	в таких	1	1
104	новые и	1	1
105	вовсе не	1	1
106	тому что	1	1
107	мысли в	1	1
108	в процессе	1	1
109	в труде	1	1
110	точке зрения	1	1
111	когда мы	1	1
112	как только	2	1
113	и о	1	1
114	более не	1	1
115	от друга	1	1
116	остается в	1	1
117	исторической жизни	2	1
118	но одно	1	1
119	историю литературы	1	1
120	том как	1	1
121	для этого	1	1
122	тех кто	1	1
123	столь же	1	1
124	каждом своем	1	1
125	в конечном	1	1
126	эти два	1	1
127	бы в	1	1
128	его собственная	1	1
129	в литературоведении	2	1
130	именно на	1	1
131	существу своему	1	1
132	или даже	2	1
133	в котором	1	1
134	у него	1	1
135	в каждом	1	1
136	нужно было	2	1
137	даже не	1	1
138	не один	1	1
139	а с	1	1
140	не было	1	1
141	далеко еще	1	1
142	в связи	1	1
143	в те	1	1
144	конечно не	1	1
145	это значит	1	1
146	ли не	1	1
147	все это	7	1
148	и более	1	1
149	для нас	3	1
150	в этих	1	1
151	хотя бы	1	1
152	из тех	1	1
153	можно будет	1	1
154	они не	1	1
