N	2gram	Vinokur_St_1	NovoeSre
1	а не	16	17
2	и в	44	16
3	не может	8	16
4	совсем не	2	12
5	и не	16	11
6	и есть	1	10
7	в эпоху	2	9
8	что в	30	9
9	в том	36	8
10	жизни и	5	8
11	он не	2	8
12	в этом	21	7
13	может быть	15	7
14	как и	9	7
15	с его	1	6
16	не в	12	6
17	ни в	3	6
18	никогда не	5	6
19	лишь в	3	6
20	но это	6	6
21	не знает	2	6
22	должен быть	3	5
23	в ней	3	5
24	культуры в	3	5
25	и к	1	5
26	не только	18	5
27	xix века	1	5
28	все это	5	5
29	в нем	5	5
30	о том	17	4
31	наше время	1	4
32	эпохи и	3	4
33	в них	1	4
34	то что	18	4
35	это не	8	4
36	прежде всего	7	4
37	не было	4	4
38	и потому	2	4
39	значит что	3	4
40	не менее	5	4
41	и для	3	4
42	не имеет	4	4
43	и все	2	4
44	потому что	6	4
45	с другой	9	3
46	в ее	4	3
47	должна быть	3	3
48	вопрос о	4	3
49	еще не	3	3
50	во всех	8	3
51	за пределы	2	3
52	в истории	3	3
53	как в	13	3
54	конечно не	2	3
55	право и	2	3
56	не значит	3	3
57	к ним	1	3
58	французской революции	1	3
59	но и	10	3
60	это было	1	3
61	не означает	1	3
62	с тем	1	3
63	в своей	6	3
64	в россии	4	3
65	в прошлом	1	3
66	она не	2	3
67	что такое	1	3
68	в наше	1	3
69	не существует	3	3
70	в основе	3	3
71	в духе	1	3
72	к тому	1	3
73	в наши	1	3
74	сказать что	7	3
75	и это	2	2
76	же как	3	2
77	должно стать	1	2
78	это и	4	2
79	время как	2	2
80	не имеют	1	2
81	ведь и	3	2
82	культуры она	1	2
83	можно было	13	2
84	так и	9	2
85	времени и	1	2
86	к самой	1	2
87	мы не	2	2
88	и с	3	2
89	для этого	2	2
90	стремление к	3	2
91	еще до	1	2
92	я не	7	2
93	и что	4	2
94	и на	1	2
95	быть в	2	2
96	времени в	1	2
97	истории а	1	2
98	должно было	2	2
99	на протяжении	1	2
100	но не	3	2
101	в новом	4	2
102	в свои	1	2
103	с этим	3	2
104	хотя и	1	2
105	но в	10	2
106	который в	1	2
107	все эти	5	2
108	с одной	3	2
109	себя в	1	2
110	думать что	2	2
111	с их	1	2
112	есть в	2	2
113	в себе	2	2
114	уже не	1	2
115	не могла	2	2
116	том чтобы	1	2
117	нашего времени	1	2
118	у него	2	2
119	что она	4	2
120	в одну	1	2
121	что все	2	2
122	нет и	1	2
123	и даже	5	2
124	этом смысле	1	2
125	и творчества	2	2
126	и было	1	2
127	но я	4	2
128	том что	29	2
129	вместе с	1	2
130	так же	5	2
131	я уже	3	2
132	мы говорим	1	2
133	место в	1	2
134	одной стороны	2	2
135	такого рода	2	2
136	другой стороны	7	2
137	обращение к	1	2
138	по существу	2	2
139	том и	1	2
140	как будто	4	2
141	как это	4	2
142	такой же	5	2
143	но для	2	2
144	в то	9	2
145	одна из	1	2
146	того чтобы	11	2
147	и от	1	2
148	хотя бы	6	2
149	а в	17	2
150	и начинается	1	2
151	когда мы	1	2
152	могут быть	5	2
153	можно назвать	2	2
154	не хочу	3	1
155	не имел	1	1
156	ни одно	1	1
157	для себя	3	1
158	россии в	1	1
159	и до	1	1
160	то нужно	1	1
161	и этот	1	1
162	конечно есть	1	1
163	во многом	1	1
164	господствующей в	1	1
165	еще в	1	1
166	существует что	1	1
167	ренессанса и	1	1
168	можно сказать	1	1
169	говорить о	2	1
170	понять смысл	1	1
171	на себя	1	1
172	эпохи в	3	1
173	и другая	1	1
174	как я	1	1
175	до последних	1	1
176	то это	3	1
177	только так	1	1
178	в виду	1	1
179	зависимости от	1	1
180	это время	1	1
181	думаю что	5	1
182	на нем	1	1
183	же мере	1	1
184	на них	1	1
185	что его	1	1
186	в чем	3	1
187	не могу	1	1
188	это была	1	1
189	и во	2	1
190	и научной	2	1
191	все в	2	1
192	не могут	1	1
193	своего рода	3	1
194	к нему	2	1
195	в его	9	1
196	я думаю	11	1
197	но нет	1	1
198	нужно быть	1	1
199	не хотел	1	1
200	и только	3	1
201	николая i	1	1
202	которая должна	1	1
203	значение для	1	1
204	начала xix	1	1
205	к которому	4	1
206	в своем	2	1
207	как например	1	1
208	что нет	2	1
209	на человека	1	1
210	говорит что	3	1
211	время когда	1	1
212	что он	10	1
213	в каком-то	2	1
214	только в	10	1
215	по своей	2	1
216	отнесены к	1	1
217	от этого	2	1
218	в самом	7	1
219	не хочет	2	1
220	а во-вторых	1	1
