N	3gram	Tiupa_Hudo_1	formyVre
1	с точки зрения	3	8
2	в связи с	1	7
3	для того чтобы	2	7
4	в этом мире	2	6
5	то же время	5	4
6	в то же	5	4
7	имеем в виду	3	3
8	в том числе	2	3
9	и в то	1	3
10	точки зрения не	1	3
11	к вопросу о	1	3
12	и прежде всего	1	3
13	в том что	7	3
14	прежде всего в	1	2
15	то же самое	1	2
16	в этом случае	1	2
17	том числе и	1	2
18	может быть и	2	2
19	мы имеем в	3	2
20	друг от друга	1	2
21	как такового не	1	1
22	каждая из этих	1	1
23	и того же	2	1
24	в той или	2	1
25	и в сущности	1	1
26	то есть как	1	1
27	он ни был	1	1
28	в виду что	1	1
29	каждой из них	1	1
30	том что он	1	1
31	и для других	1	1
32	тот или иной	2	1
33	что он не	1	1
34	в отличие от	7	1
35	на каждом из	1	1
36	но он не	2	1
37	с самим собою	1	1
38	значении этого слова	2	1
39	с этой точки	1	1
40	одно и то	3	1
41	точки зрения в	1	1
42	в особенности в	1	1
43	в основе того	1	1
44	как и в	1	1
45	что в основе	2	1
46	таким образом и	1	1
47	с одной стороны	2	1
48	на первый взгляд	1	1
49	можно говорить о	1	1
50	и то же	3	1
51	или иной форме	1	1
52	с другой стороны	5	1
53	не может быть	3	1
54	здесь как бы	1	1
55	этой точки зрения	1	1
56	в себе самом	1	1
57	в частности в	1	1
58	и в пространстве	1	1
59	в то время	1	1
60	пространственных и временных	1	1
61	в свою очередь	2	1
62	о том что	1	1
63	на свое место	1	1
64	определенного смысла и	1	1
65	можно сказать что	3	1
66	одного и того	2	1
67	в данном отношении	1	1
68	в это утро	1	1
69	больше и больше	1	1
70	чего еще нет	1	1
71	к тому что	2	1
72	как бы в	1	1
73	в себе в	1	1
74	человека и его	1	1
75	той или иной	4	1
