N	2gram	Losev_Dial_1	Analitik
1	в качестве	2	31
2	может быть	17	29
3	в том	9	27
4	не может	12	22
5	и не	30	21
6	в частности	2	19
7	и в	18	18
8	но и	7	17
9	а не	14	17
10	не только	13	15
11	отнюдь не	9	15
12	не в	6	14
13	как и	2	13
14	в этом	12	13
15	в его	3	13
16	при этом	1	12
17	том что	9	12
18	в себе	11	11
19	то есть	1	11
20	но не	4	10
21	а в	5	9
22	то же	10	9
23	в то	6	9
24	нуждается в	3	8
25	есть не	3	8
26	в той	1	8
27	в мире	2	8
28	но в	6	8
29	не есть	40	8
30	тем самым	1	7
31	к тому	4	7
32	том чтобы	1	7
33	по своей	1	6
34	же время	4	6
35	прежде всего	10	6
36	точки зрения	17	6
37	я и	1	6
38	в своей	2	6
39	это не	9	6
40	времени и	1	6
41	только в	3	6
42	мы имеем	2	6
43	в основе	3	6
44	перед лицом	1	6
45	то что	13	6
46	далеко не	1	6
47	должен быть	1	6
48	себя в	1	6
49	или иной	3	6
50	в самом	3	6
51	той или	7	6
52	в этой	1	5
53	иное как	1	5
54	что в	13	5
55	между тем	1	5
56	что иное	1	5
57	и его	1	5
58	имеет место	1	5
59	в их	3	5
60	и состоит	2	5
61	о том	4	5
62	как бы	11	5
63	и как	7	5
64	все же	5	4
65	в другом	2	4
66	так и	9	4
67	с ним	6	4
68	с другими	2	4
69	по себе	25	4
70	реальности в	1	4
71	не более	1	4
72	вместе с	1	4
73	того что	2	4
74	сознания в	1	4
75	не с	5	4
76	с точки	12	4
77	имеем дело	1	4
78	для того	2	4
79	тому же	2	4
80	ни в	15	4
81	уже не	2	4
82	не всегда	1	4
83	столь же	1	4
84	ни было	2	4
85	могут быть	3	4
86	именно в	2	4
87	не что	1	4
88	из того	2	4
89	с другой	6	4
90	собственно говоря	4	4
91	с другим	1	4
92	и более	4	4
93	и другого	2	4
94	по природе	1	3
95	полной мере	1	3
96	смысл и	4	3
97	место в	1	3
98	одной стороны	2	3
99	могла бы	2	3
100	не будет	1	3
101	что как	2	3
102	никто не	2	3
103	т п	2	3
104	вопрос об	1	3
105	и все	3	3
106	а именно	1	3
107	таким образом	1	3
108	к нему	8	3
109	даже в	3	3
110	хотя бы	6	3
111	того чтобы	1	3
112	объекта и	2	3
113	того или	1	3
114	еще не	2	3
115	своего предмета	1	3
116	ни с	6	3
117	в таком	1	3
118	и т	21	3
119	в полной	2	3
120	и к	1	3
121	дело не	2	3
122	во внешнем	1	3
123	что не	7	3
124	если в	3	3
125	как он	4	3
126	в силу	1	3
127	я в	2	3
128	и есть	16	3
129	вопроса о	1	3
130	для науки	3	3
131	в котором	4	3
132	мере в	1	3
133	с одной	2	3
134	в нем	16	3
135	что и	3	3
136	не могут	1	3
137	от себя	1	3
138	как известно	1	3
139	он не	3	3
140	а также	1	3
141	что он	11	3
142	как будто	1	3
143	смысла и	1	3
144	того и	1	3
145	если бы	12	3
146	или ином	1	3
147	а с	2	3
148	она может	1	3
149	том или	2	3
150	что мы	1	3
151	все эти	2	2
152	не становится	1	2
153	в которой	1	2
154	искусство в	1	2
155	каждом из	2	2
156	с целью	1	2
157	говорит и	1	2
158	и с	5	2
159	вопрос о	2	2
160	из этих	2	2
161	такой же	2	2
162	можно сказать	6	2
163	в противоположность	5	2
164	или не	5	2
165	отличается от	2	2
166	случае не	3	2
167	не к	1	2
168	и является	2	2
169	здесь не	1	2
170	это как	1	2
171	думать что	3	2
172	и просто	1	2
173	вовсе не	7	2
174	коем случае	1	2
175	то он	2	2
176	была бы	3	2
177	в сознании	3	2
178	в какой	1	2
179	или иных	1	2
180	и та	3	2
181	ним и	1	2
182	бы не	1	2
183	бы ни	1	2
184	то в	7	2
185	его к	1	2
186	в искусстве	1	2
187	что же	3	2
188	было бы	12	2
189	и самого	1	2
190	отношение к	5	2
191	для него	2	2
192	потому что	14	2
193	внутреннего и	9	2
194	отношения к	3	2
195	она есть	5	2
196	сами по	1	2
197	на самом	3	2
198	нет и	1	2
199	никогда не	9	2
200	тех или	3	2
201	еще в	1	2
202	и сам	1	2
203	не остается	1	2
204	которые в	1	2
205	а как	1	2
206	он может	1	2
207	в коем	1	2
208	как мы	4	2
209	говоря о	2	2
210	мире и	1	2
211	и о	3	2
212	но к	2	2
213	один из	3	2
214	и потому	3	2
215	должно быть	3	2
216	от своего	1	2
217	и внешнего	6	2
218	в некий	1	2
219	не о	4	2
220	со стороны	2	2
221	может иметь	3	2
222	не должен	1	2
223	для этого	2	2
224	другой стороны	4	2
225	этом отношении	2	2
226	и тогда	2	2
227	к любой	1	2
228	также и	7	2
229	не просто	7	2
230	науке о	1	2
231	на этом	2	2
232	несмотря на	10	2
233	мысль о	1	2
234	ли он	1	2
235	той же	1	2
236	при помощи	1	2
237	тем более	2	2
238	для чего	2	2
239	научного анализа	1	2
240	же самое	1	2
241	в субъекте	1	2
242	и до	1	2
243	самом деле	3	2
244	нас самих	1	2
245	природе своей	1	2
246	ничто не	3	2
247	на себя	1	2
248	и то	9	2
249	так как	11	2
250	не является	3	2
251	из них	2	2
252	и заключается	1	2
253	быть может	4	2
254	не могу	4	2
255	могли бы	1	2
256	что именно	2	2
257	себе в	1	2
258	и по	1	2
