N	3gram	Medvedev_F_3	slovoVRo
1	и т п	5	33
2	не может быть	14	15
3	в отличие от	2	12
4	в пределах одного	2	7
5	в этом случае	1	6
6	в значительной степени	1	6
7	с одной стороны	1	5
8	той или иной	1	5
9	в большинстве случаев	4	5
10	по отношению к	3	4
11	во всех областях	2	4
12	в зависимости от	5	4
13	то же время	7	4
14	но все же	1	4
15	в то же	7	4
16	в отношении к	1	4
17	в том что	3	4
18	оно не может	1	3
19	с установкой на	2	3
20	с точки зрения	14	3
21	сама по себе	1	3
22	в этом отношении	3	3
23	в собственном смысле	1	3
24	так и в	2	3
25	а вовсе не	4	2
26	до сих пор	1	2
27	хотя бы и	1	2
28	лишь тогда когда	2	2
29	зависимости от характера	1	2
30	в процессе идеологического	1	2
31	не только в	1	2
32	тот факт что	1	2
33	никогда не может	1	2
34	в романе и	1	2
35	во всяком случае	6	2
36	и в романе	1	2
37	оно входит в	1	2
38	в истории литературы	3	2
39	т п в	2	2
40	в связи с	4	2
41	между материалом и	1	2
42	для того чтобы	4	2
43	в языке как	1	2
44	и т д	6	2
45	в нем происходит	1	1
46	а следовательно и	1	1
47	до конца в	1	1
48	иначе обстоит дело	3	1
49	хотя и не	1	1
50	существенно и органически	1	1
51	отношения слова к	1	1
52	между двумя разными	1	1
53	не значит конечно	1	1
54	оно было глубоко	1	1
55	иметь в виду	1	1
56	могут выйти за	1	1
57	значит конечно что	1	1
58	но оно не	1	1
59	быть при этом	1	1
60	в этих случаях	1	1
61	в том числе	1	1
62	и поколений в	1	1
63	или иной идеологической	1	1
64	и до конца	1	1
65	всех областях идеологического	2	1
66	к этому слову	1	1
67	можно утверждать что	1	1
68	на первый план	1	1
69	мы говорили в	1	1
70	говорит о том	1	1
71	и в то	2	1
72	до известной степени	2	1
73	сами по себе	2	1
74	может иметь место	1	1
75	лишь одним из	2	1
76	между тем как	1	1
77	эпохи а не	1	1
78	том числе и	1	1
79	и не может	4	1
80	жизни и в	1	1
81	иметь место в	1	1
82	на то что	1	1
83	осложняется тем что	1	1
84	в лучшем случае	1	1
85	со всех сторон	1	1
86	в процессе этого	2	1
87	может быть только	2	1
88	точки зрения на	1	1
89	может и не	1	1
90	не с помощью	1	1
91	обстоит дело и	1	1
92	в такой степени	1	1
93	а не только	1	1
94	не входят в	1	1
95	в истории романа	1	1
96	и романом но	1	1
97	при условии если	1	1
98	областях идеологического творчества	2	1
99	в своих существенных	1	1
100	в той же	1	1
101	все это и	1	1
102	и не могут	3	1
103	все условия для	1	1
104	все более и	1	1
105	материал в его	1	1
106	художественного изображения его	1	1
107	связи и взаимоотношения	1	1
108	это не значит	1	1
109	если они не	1	1
110	так и от	2	1
111	в роман и	1	1
112	иной идеологической сферой	1	1
113	а не в	3	1
114	с другой стороны	5	1
115	все то что	1	1
116	в единое событие	1	1
117	мы видели что	2	1
118	не могут выйти	1	1
119	тем не менее	2	1
120	о том что	1	1
121	того или иного	1	1
122	в частности в	1	1
123	с той или	1	1
124	не в качестве	1	1
125	в нем нет	1	1
126	на этом фоне	2	1
127	то что так	1	1
128	вовсе не в	2	1
129	в процессе их	2	1
130	мы не можем	2	1
131	и притом в	1	1
132	как и в	1	1
133	выйти за пределы	1	1
134	идеологического мира и	1	1
135	при данных обстоятельствах	1	1
136	мы можем сказать	1	1
137	с самого начала	1	1
138	не только не	2	1
139	в пределах одной	2	1
140	более и более	1	1
141	внутреннюю форму в	1	1
142	язык в его	1	1
143	там где она	2	1
144	не может и	1	1
145	от материала и	1	1
146	никак не могут	1	1
147	в его целом	1	1
148	только в процессе	2	1
149	как не может	1	1
150	тех или иных	1	1
151	значительной степени определяется	1	1
152	так и по	1	1
153	и в нем	1	1
154	героя и его	1	1
155	слово как таковое	1	1
156	нем и в	1	1
157	необходимо однако отметить	1	1
158	в процессе его	2	1
159	она не может	1	1
160	свое выражение в	1	1
161	мы увидим что	2	1
162	как мы видели	2	1
163	на протяжении произведения	1	1
164	мы еще не	1	1
