N	2gram	Medvedev_V_1	Stilisti
1	и в	26	42
2	не только	25	27
3	как бы	5	27
4	прежде всего	13	22
5	хотя бы	19	17
6	но и	10	15
7	то же	10	15
8	и не	19	14
9	не может	17	12
10	может быть	22	12
11	как и	7	11
12	точки зрения	3	11
13	и как	3	10
14	ситуации и	1	10
15	как мы	1	10
16	в этом	26	10
17	отнюдь не	3	10
18	что мы	2	10
19	то что	6	9
20	в то	6	9
21	для того	3	9
22	в себе	6	8
23	все же	5	8
24	таким образом	31	8
25	с тем	3	8
26	в ней	2	8
27	и это	1	8
28	в которой	2	7
29	же время	5	7
30	того чтобы	3	7
31	потому что	1	7
32	а не	7	7
33	и от	3	7
34	и его	6	7
35	зависимости от	5	7
36	никогда не	4	7
37	только в	7	7
38	в зависимости	6	7
39	с его	3	7
40	было бы	7	7
41	на его	1	6
42	в форме	3	6
43	так и	5	6
44	или как	1	6
45	в нем	6	6
46	и так	1	6
47	не в	6	6
48	в конце	3	6
49	во всех	6	6
50	но ведь	1	6
51	в этой	4	6
52	в процессе	16	6
53	в области	2	6
54	или иной	2	6
55	в свою	1	6
56	и наконец	2	5
57	одно и	1	5
58	и их	3	5
59	в сознании	4	5
60	как это	12	5
61	того или	2	5
62	вместе с	7	5
63	в той	1	5
64	мы видели	3	5
65	слова и	1	5
66	и той	1	5
67	в живом	1	5
68	в его	14	5
69	тому что	6	5
70	а в	3	5
71	у которого	1	5
72	или иного	1	5
73	не является	5	5
74	уже в	1	5
75	же самое	2	5
76	бы в	3	4
77	которой мы	1	4
78	можно сказать	4	4
79	так же	3	4
80	было в	2	4
81	то есть	1	4
82	так называемые	1	4
83	и без	1	4
84	художественного творчества	18	4
85	так сказать	2	4
86	его в	3	4
87	в общественной	1	4
88	были бы	1	4
89	ту или	1	4
90	с определенной	1	4
91	того что	3	4
92	о своей	1	4
93	и к	3	4
94	в качестве	11	4
95	у нас	2	4
96	к тому	4	4
97	связаны с	1	4
98	свою очередь	1	4
99	один из	5	4
100	в слове	3	4
101	в каждом	2	4
102	уже не	1	4
103	на это	2	4
104	в самом	4	4
105	мы видим	1	4
106	словесное выражение	1	4
107	но в	2	4
108	на него	1	4
109	или иную	1	4
110	о том	10	4
111	все это	10	4
112	самом деле	1	4
113	и то	1	4
114	можно было	2	4
115	если бы	3	4
116	самого начала	1	4
117	той или	1	4
118	или иное	1	3
119	чрезвычайно важно	1	3
120	еще не	2	3
121	конце концов	2	3
122	жизни и	3	3
123	и для	2	3
124	главным образом	7	3
125	о своем	2	3
126	мертвых душ	1	3
127	связи с	4	3
128	и все	1	3
129	что у	2	3
130	что такое	2	3
131	его и	1	3
132	жизни это	1	3
133	от того	2	3
134	лишь в	2	3
135	это высказывание	2	3
136	об этом	9	3
137	то или	1	3
138	если он	1	3
139	явлений которые	1	3
140	заключает в	1	3
141	если не	1	3
142	между ними	3	3
143	для нас	1	3
144	в виду	4	3
145	в начале	1	3
146	в ее	4	3
147	видели что	3	3
148	но вот	1	3
149	связанных с	1	3
150	нет и	3	3
151	это не	7	3
152	и даже	2	3
153	и поэтому	1	3
154	в целом	4	3
155	что оно	3	3
156	да и	1	3
157	сказать что	5	3
158	мы в	1	3
159	хотя и	2	3
160	представить себе	2	3
161	из них	9	3
162	в котором	3	3
163	вряд ли	1	3
164	в одном	4	3
165	в данной	1	3
166	что и	3	3
167	роль в	4	3
168	их в	6	3
169	но что	1	3
170	которое обычно	1	3
171	ответ на	1	3
172	короче говоря	1	3
173	конечно не	1	3
174	только на	1	3
175	перед нами	4	3
176	так называемой	1	3
177	том что	8	3
178	но для	2	3
179	все эти	6	2
180	материал для	1	2
181	каждый из	1	2
