N	3gram	Bakhtin_fo_2	Literetu
1	то же время	4	9
2	в то же	4	9
3	не может быть	1	7
4	с одной стороны	1	6
5	в том что	3	5
6	с другой стороны	1	4
7	с точки зрения	8	3
8	в этом отношении	2	3
9	в данном случае	1	3
10	о том что	1	2
11	в этом случае	2	2
12	и т п	11	2
13	одно и то	1	2
14	и то же	1	2
15	в том числе	3	2
16	и в сущности	1	1
17	особое место в	1	1
18	а за ними	1	1
19	и наконец в	1	1
20	то же самое	2	1
21	как у людей	1	1
22	вместе с тем	1	1
23	что он не	1	1
24	в отличие от	1	1
25	а так как	1	1
26	том числе и	2	1
27	то что было	2	1
28	с этой точки	1	1
29	и сила и	1	1
30	и в то	3	1
31	себя и других	1	1
32	в конце концов	1	1
33	в себя и	1	1
34	мира и жизни	1	1
35	во всех этих	3	1
36	прежде всего в	2	1
37	того что было	1	1
38	этой точки зрения	1	1
39	в частности в	1	1
40	по земле в	1	1
41	из того же	1	1
42	в свою очередь	1	1
43	на самом деле	1	1
44	в одном из	1	1
45	то есть в	1	1
46	и прежде всего	3	1
47	той или иной	1	1
48	себя в них	1	1
49	к тому что	1	1
50	вовсе не является	1	1
51	для того чтобы	7	1
52	это свидетельствует о	1	1
53	как мы видели	1	1
