N	2gram	Tiupa_Hudo_1	Retstnzi
1	не может	7	4
2	и в	19	3
3	в центре	1	2
4	если в	1	2
5	один из	2	2
6	на нее	1	1
7	и больше	2	1
8	то же	10	1
9	с другими	4	1
10	можно назвать	1	1
11	в системе	2	1
12	о литературе	3	1
13	может быть	14	1
14	из этих	3	1
15	и не	15	1
16	в его	9	1
17	ситуации и	1	1
18	связи с	1	1
19	не только	16	1
20	с точки	3	1
21	сравнении с	1	1
22	в каждом	1	1
23	не менее	3	1
24	для него	4	1
25	если бы	3	1
26	тому что	2	1
27	литературного произведения	10	1
28	деятельности в	2	1
29	к тому	4	1
30	в особенности	1	1
31	произведения лишь	1	1
32	в то	6	1
33	вопрос что	1	1
34	бы в	1	1
35	художественного произведения	3	1
36	но и	10	1
37	точки зрения	10	1
38	и на	2	1
39	может не	1	1
40	мы видим	1	1
41	же время	5	1
42	художественного целого	3	1
43	по своим	1	1
44	а не	9	1
