N	3gram	Ircho_Kome_3	Tragedij
1	то же время	4	5
2	в то же	4	5
3	так и в	1	3
4	в отличие от	1	2
5	и в частности	1	2
6	о том что	4	2
7	и в самом	3	2
8	но все же	2	2
9	в том что	9	2
10	в этом случае	2	1
11	с рассказом о	1	1
12	в обоих случаях	1	1
13	между отцом и	2	1
14	отцом и сыном	1	1
15	ни разу не	1	1
16	об этом свидетельствует	1	1
17	в известной степени	2	1
18	этой линии в	1	1
19	на этот счет	1	1
20	и не может	1	1
21	что он не	2	1
22	мы понимаем что	1	1
23	в третий раз	1	1
24	и т п	3	1
25	за то что	1	1
26	вызвать к жизни	1	1
27	отца и дочери	1	1
28	в этой связи	2	1
29	во всяком случае	3	1
30	в конце концов	2	1
31	ответа на вопрос	1	1
32	но при этом	1	1
33	обстоит дело с	2	1
34	и в этом	1	1
35	по сравнению с	2	1
36	тем не менее	3	1
37	в связи с	3	1
38	то что он	1	1
39	это же время	1	1
40	на русский язык	1	1
41	отнюдь не является	1	1
42	в это же	1	1
43	с самого начала	4	1
44	в самом деле	6	1
45	а нечто большее	1	1
46	после того как	1	1
47	к тому что	1	1
48	друг друга и	1	1
