N	3gram	Losev_Vlad_3	EvropaiE
1	с точки зрения	6	16
2	в то же	3	15
3	то же время	2	14
4	и в то	2	8
5	с одной стороны	3	8
6	одной стороны и	2	6
7	в том что	10	6
8	с этой точки	1	5
9	так же как	2	5
10	этой точки зрения	1	5
11	для того чтобы	1	5
12	бы то ни	3	4
13	не только в	1	4
14	то ни было	1	4
15	и в этом	5	4
16	само по себе	3	4
17	той или иной	1	4
18	в этом смысле	3	3
19	же как и	1	3
20	хотя бы и	3	3
21	в этом отношении	2	3
22	можно было бы	1	3
23	можно думать что	1	3
24	в известном смысле	1	3
25	во всяком случае	3	3
26	в последние годы	1	3
27	сказать что в	1	2
28	между прочим и	1	2
29	не говоря уже	1	2
30	только в том	3	2
31	то что в	3	2
32	в данном случае	2	2
33	заключается в том	1	2
34	с другой стороны	2	2
35	не может быть	6	2
36	и притом в	1	2
37	есть не только	1	2
38	на то что	2	2
39	как мы видели	3	2
40	в каком же	1	1
41	говоря уже об	1	1
42	как и его	1	1
43	не может не	1	1
44	а не к	1	1
45	не входя в	1	1
46	нас между прочим	1	1
47	что в этом	2	1
48	в последнее время	1	1
49	дело в том	5	1
50	более или менее	5	1
51	также и в	2	1
52	наше внимание на	1	1
53	в том же	1	1
54	то что с	1	1
55	что же касается	5	1
56	он мог бы	1	1
57	развития так как	1	1
58	и не только	1	1
59	и не в	1	1
60	и то и	1	1
61	том случае если	2	1
62	то и другое	1	1
63	того что мы	1	1
64	в отличие от	3	1
65	что в смысле	1	1
66	даже вовсе не	1	1
67	с тем что	1	1
68	что же при	1	1
69	в противном случае	1	1
70	может быть и	1	1
71	говорить не о	1	1
72	принимая во внимание	1	1
73	и в своем	1	1
74	мы находим у	1	1
75	не только те	1	1
76	как не может	1	1
77	в самом процессе	1	1
78	на этот раз	1	1
79	только в виде	2	1
80	а также и	6	1
81	и в отношении	3	1
82	в том случае	3	1
83	так и с	1	1
84	то время как	2	1
85	хотя бы с	1	1
86	в связи с	2	1
87	в последнем случае	1	1
88	в каком смысле	1	1
89	основание в том	1	1
90	о которых мы	1	1
91	указать на то	1	1
92	мы бы сказали	3	1
93	мы не можем	1	1
94	в то время	4	1
95	нельзя сказать чтобы	1	1
96	только и можно	1	1
97	это значит что	6	1
98	оно не может	2	1
99	выходит за пределы	1	1
100	одна другую и	1	1
101	для нас между	1	1
102	для нас значение	1	1
103	он не дает	1	1
104	в том числе	1	1
105	к тому что	2	1
106	в том смысле	1	1
107	но и то	1	1
108	в себе не	1	1
109	к тому же	5	1
110	независимо от того	2	1
