N	3gram	Bakhtin_Pr_1	EvropaiE
1	с точки зрения	6	16
2	в то же	3	15
3	то же время	3	14
4	и в то	2	8
5	с одной стороны	3	8
6	одной стороны и	1	6
7	в том что	3	6
8	для того чтобы	2	5
9	бы то ни	3	4
10	не только в	2	4
11	то ни было	2	4
12	и в этом	1	4
13	того или иного	2	4
14	той или иной	2	4
15	в этом смысле	3	3
16	хотя бы и	1	3
17	в этом отношении	2	3
18	можно было бы	3	3
19	в применении к	3	3
20	и прежде всего	5	3
21	можно сказать что	2	3
22	в известной степени	2	3
23	или хотя бы	1	2
24	имеет место в	2	2
25	не говоря уже	1	2
26	то что в	1	2
27	и в частности	2	2
28	в данном случае	4	2
29	дело идет о	1	2
30	но в то	1	2
31	по сравнению с	1	2
32	так и в	2	2
33	с другой стороны	4	2
34	не может быть	11	2
35	по себе не	1	2
36	в свою очередь	1	2
37	мы можем сказать	2	2
38	хотя бы в	1	2
39	на то что	1	2
40	в большинстве случаев	5	2
41	в той области	1	1
42	не входя в	1	1
43	хотя и не	1	1
44	следует отметить что	1	1
45	мы сказали бы	1	1
46	только в пределах	1	1
47	культуры и в	1	1
48	дело в том	1	1
49	хотя бы только	1	1
50	также и в	1	1
51	имеют дело с	1	1
52	но и во	1	1
53	в том же	2	1
54	то есть к	1	1
55	но если так	1	1
56	несмотря на то	1	1
57	в нем и	1	1
58	и не в	1	1
59	если так то	1	1
60	в лучшем случае	2	1
61	говоря уже о	1	1
62	в отличие от	5	1
63	но и в	2	1
64	с тем что	1	1
65	на этот вопрос	1	1
66	не есть ли	1	1
67	в противном случае	3	1
68	то или иное	2	1
69	может быть и	1	1
70	и с точки	1	1
71	смысле этого слова	1	1
72	она никогда не	1	1
73	в значительной степени	1	1
74	а также и	1	1
75	в некоторых случаях	1	1
76	не могут быть	2	1
77	то время как	1	1
78	известной степени и	1	1
79	в связи с	1	1
80	ней в ее	1	1
81	о которых мы	1	1
82	одной стороны в	1	1
83	есть ли это	1	1
84	том смысле что	1	1
85	в то время	1	1
86	чтобы войти в	1	1
87	та или иная	1	1
88	то есть в	1	1
89	и тем самым	2	1
90	можем сказать что	1	1
91	выходит за пределы	1	1
92	не более как	1	1
93	к тому что	1	1
94	в том смысле	1	1
95	и происходит в	1	1
96	не может в	1	1
97	отметить что в	1	1
98	и т д	1	1
99	в основных чертах	1	1
