N	3gram	Ircho_Kome_1	Narrotol
1	в том что	9	8
2	с одной стороны	3	7
3	о том что	3	6
4	по отношению к	3	6
5	в том числе	1	6
6	в отличие от	1	5
7	в данном случае	1	4
8	к тому же	5	4
9	с другой стороны	5	4
10	во времени и	1	4
11	состоит в том	1	3
12	на себя внимание	1	3
13	бы то ни	2	3
14	в этом отношении	3	3
15	обращает на себя	1	3
16	то ни было	2	3
17	тем не менее	1	3
18	то же время	4	3
19	в то же	4	3
20	что иное как	1	2
21	более или менее	1	2
22	подобно тому как	1	2
23	можно было бы	1	2
24	в значительной степени	1	2
25	так же как	1	2
26	не что иное	1	2
27	не только в	1	2
28	даже не только	1	2
29	этой точки зрения	1	2
30	в рамках этой	1	2
31	речь идет о	3	2
32	так или иначе	1	2
33	не в состоянии	2	1
34	между людьми и	1	1
35	том что в	1	1
36	следует отметить что	1	1
37	или хотя бы	1	1
38	и даже не	1	1
39	том что он	4	1
40	то же самое	2	1
41	в том же	1	1
42	же как и	1	1
43	до сих пор	2	1
44	да и в	1	1
45	сам по себе	1	1
46	при этом что	2	1
47	начала х годов	1	1
48	в первую очередь	2	1
49	независимо от того	1	1
50	по аналогии с	1	1
51	а то и	2	1
52	тому же в	3	1
53	он не мог	1	1
54	до наших дней	1	1
55	с этой точки	1	1
56	может и не	1	1
57	мы узнаем о	1	1
58	в самую суть	1	1
59	и тот же	1	1
60	не мог бы	1	1
61	в литературе нового	1	1
62	литературе нового времени	1	1
63	на протяжении всего	2	1
64	и прежде всего	1	1
65	или может быть	2	1
66	друг от друга	1	1
67	совершенно очевидно что	1	1
68	не представляется возможным	1	1
69	как мы уже	1	1
70	в соответствии с	1	1
71	как и в	2	1
72	в отрыве от	1	1
73	как мы видели	1	1
