N	3gram	Losev_Vlad_3	SlovoVZh
1	не может быть	6	7
2	дело в том	5	4
3	в том что	10	4
4	тем не менее	9	3
5	бы то ни	3	3
6	может быть и	1	3
7	этой точки зрения	1	3
8	до сих пор	1	3
9	и не в	1	3
10	то ни было	1	3
11	и то же	1	2
12	с другой стороны	2	2
13	то же самое	1	2
14	одной стороны и	2	2
15	с точки зрения	6	2
16	одно и то	1	2
17	в каком отношении	1	2
18	в данном случае	2	2
19	в настоящее время	3	2
20	не довлеет себе	1	2
21	с одной стороны	3	2
22	том что в	3	1
23	что является для	1	1
24	точки зрения это	1	1
25	и в этом	5	1
26	и потому не	1	1
27	все же не	1	1
28	ровно ничего не	1	1
29	какой бы то	1	1
30	то время как	2	1
31	более или менее	5	1
32	во всяком случае	3	1
33	так как в	1	1
34	и она не	1	1
35	в самом деле	1	1
36	в этом смысле	3	1
37	того что это	1	1
38	самом же деле	2	1
39	за ее пределы	1	1
40	прежде всего чрезвычайно	1	1
41	же как и	1	1
42	в то время	4	1
43	от того кто	1	1
44	сих пор не	1	1
45	а не к	1	1
46	жизненный смысл и	1	1
47	приходится признать что	1	1
48	но уже в	1	1
49	сам по себе	2	1
50	является то что	1	1
51	как на нечто	1	1
52	как это бывает	1	1
53	то едва ли	2	1
54	на самом же	2	1
55	о том что	8	1
56	и отнюдь не	1	1
57	только то что	1	1
58	ничего общего с	2	1
59	в этом отношении	2	1
60	с самого начала	1	1
61	ни в какой	1	1
62	можно было бы	1	1
63	является для него	1	1
64	если бы не	1	1
65	то же время	2	1
66	он еще не	1	1
67	включает в себя	1	1
68	в основе своей	1	1
69	в противном случае	1	1
70	можно найти в	1	1
71	ли из этого	1	1
72	по себе в	2	1
73	в то же	3	1
74	отнюдь не является	1	1
75	не есть только	1	1
76	в том и	1	1
77	как не может	1	1
78	того чтобы не	1	1
79	сама по себе	1	1
80	вопросу о том	1	1
81	так же как	2	1
82	и в своем	1	1
83	еще раз что	1	1
84	далеко не всегда	1	1
85	к тому же	5	1
86	в том же	1	1
