N	2gram	Nazirov_Vr_1	Problemy
1	из подполья	3	35
2	и в	8	35
3	как бы	4	31
4	и не	5	27
5	что он	4	24
6	в его	3	21
7	но в	6	19
8	как и	6	18
9	к себе	2	18
10	не может	2	18
11	о себе	3	17
12	в нем	6	16
13	то же	5	15
14	и все	7	15
15	в этом	8	14
16	и его	3	14
17	для него	2	14
18	может быть	4	14
19	но и	7	14
20	все это	4	14
21	он не	3	13
22	что я	2	13
23	к нему	1	13
24	и с	6	12
25	у достоевского	4	12
26	прежде всего	1	12
27	в то	5	11
28	не только	9	10
29	же время	5	10
30	то что	7	10
31	я не	3	8
32	все же	6	8
33	так и	1	8
34	потому что	1	8
35	еще не	2	7
36	на них	1	7
37	с его	3	7
38	и наконец	1	7
39	самим собой	1	7
40	таким образом	2	7
41	и сам	1	7
42	так же	4	7
43	что же	1	7
44	точки зрения	2	7
45	с ним	4	7
46	а в	2	7
47	отношении к	1	7
48	он сам	2	6
49	но не	1	6
50	отношение к	2	6
51	что они	1	6
52	в самом	1	6
53	что у	3	6
54	в плане	1	6
55	в речах	1	6
56	в одном	1	6
57	и что	8	6
58	и т.п	2	6
59	но это	2	6
60	что в	7	6
61	и то	2	5
62	как в	1	5
63	в себе	2	5
64	он и	1	5
65	в конце	3	5
66	во время	2	5
67	да и	1	5
68	его с	2	5
69	и это	2	5
70	в том	3	5
71	и даже	6	5
72	как к	1	5
73	героя в	1	5
74	полемика с	1	4
75	он как	1	4
76	в мире	2	4
77	в чем	3	4
78	что это	1	4
79	но на	1	4
80	же не	2	4
81	из своего	1	4
82	его в	3	4
83	в них	2	4
84	рядом с	2	4
85	в эту	2	4
86	в своей	2	4
87	его отношение	1	4
88	но он	3	4
89	никогда не	2	4
90	он хочет	1	4
91	во всем	1	4
92	как раз	2	4
93	это слово	1	4
94	еще в	1	4
95	между тем	5	4
96	тотчас же	1	4
97	которым он	1	4
98	и у	3	4
99	всяком случае	1	4
100	у него	5	4
101	тем что	3	4
102	с другой	1	4
103	в стиле	1	4
104	до конца	1	4
105	с которым	2	4
106	но как	2	4
107	по своему	1	4
108	в той	2	4
109	человек и	1	4
110	бы в	1	4
111	но зато	1	4
112	во всяком	1	4
113	себя как	1	3
114	а между	1	3
115	это и	1	3
116	достоевского в	7	3
117	высшей степени	1	3
118	исповеди ставрогина	1	3
119	говорить о	1	3
120	ты как	1	3
121	в виду	4	3
122	во всех	1	3
123	мне все	1	3
124	совсем не	1	3
125	с этим	1	3
126	героев достоевского	1	3
127	поэтому он	1	3
128	в целом	1	3
129	тому же	1	3
130	одно и	1	3
131	было бы	1	3
132	этом смысле	1	3
133	в высшей	1	3
134	этого не	1	3
135	такой же	1	3
136	в котором	6	3
137	в повести	2	3
138	раз и	1	3
139	ничего не	1	3
140	и т.д	1	3
141	с ее	1	3
142	в ее	1	3
143	под влиянием	1	3
144	и во	3	3
145	это не	4	3
146	в форме	1	3
147	достоевского это	1	3
148	в него	2	3
149	того что	1	3
150	он уже	1	3
151	человека с	2	3
152	уже не	2	3
153	уже в	4	3
154	из них	2	3
155	его и	2	3
156	о своей	1	3
157	а с	2	3
158	голос и	1	3
159	эти слова	3	3
160	в начале	6	3
161	которой он	1	3
162	не мог	2	3
163	я очень	1	3
164	и от	1	3
165	это как	1	3
166	конце концов	1	3
167	только что	1	3
168	том что	3	3
169	другой стороны	1	3
170	бы его	1	3
171	и отчасти	1	2
172	запискам из	1	2
173	не хочет	1	2
174	и этот	1	2
175	смерти отца	1	2
176	еще до	1	2
177	на бале	1	2
178	него он	1	2
179	в ней	4	2
180	столь же	2	2
181	вам это	1	2
182	не просто	1	2
183	однако в	1	2
184	по которому	1	2
185	в своем	3	2
186	хотя и	1	2
187	и как	3	2
188	знаю что	1	2
189	них он	1	2
190	в этот	3	2
191	всего романа	1	2
192	момент его	1	2
193	еще один	1	2
194	раз в	3	2
195	но ведь	1	2
196	как он	1	2
197	в записках	1	2
198	вас и	1	2
199	при этом	4	2
200	всех этих	1	2
201	и тотчас	1	2
202	этот процесс	1	2
203	их в	2	2
204	той же	1	2
205	это было	1	2
206	было в	1	2
207	достоевского и	7	2
208	все равно	1	2
209	но я	1	2
210	в этих	1	2
211	плане его	1	2
212	с точки	2	2
213	своего рода	1	2
214	не менее	2	2
215	и лишь	1	2
216	по своей	1	2
217	такая же	1	2
218	к запискам	1	2
219	ли это	1	2
220	этого и	1	2
221	и он	2	2
222	из их	1	2
223	вы не	1	2
224	так в	2	2
225	стремится быть	1	2
226	на нее	1	2
227	конечно в	1	2
228	жизнь и	1	2
229	и вообще	1	2
230	о нем	6	2
231	о том	4	2
232	не знаю	1	2
233	быть и	1	2
234	за исключением	1	2
235	то в	1	2
236	в эти	2	2
237	себя в	1	2
238	в сторону	1	2
239	в жизни	1	2
240	в душе	1	2
241	этот раз	1	2
242	мы знаем	2	2
243	в роман	2	2
244	друг друга	1	2
245	каждый из	1	2
246	связан с	1	2
247	совпадает с	1	2
248	такое же	1	2
249	говорит о	1	2
250	на этот	1	2
251	всю жизнь	1	2
252	в рассказе	1	2
253	у человека	1	2
254	человека как	1	2
255	вместе с	2	2
256	не знал	1	2
257	из этого	1	2
258	но для	1	2
259	свои собственные	1	2
260	мире а	1	2
261	я хотел	3	2
262	для достоевского	1	2
263	меня в	1	2
264	это в	2	2
265	ну что	1	1
266	от этой	1	1
267	одним из	3	1
268	начинается с	1	1
269	не имел	1	1
270	стиле рассказа	1	1
271	он добивается	1	1
272	ему что	1	1
273	несколько позже	1	1
274	по преимуществу	1	1
275	отношения к	2	1
276	уже по	1	1
277	в их	1	1
278	по его	1	1
279	человеком и	1	1
280	б и	2	1
281	что уже	1	1
282	которой достоевский	1	1
283	что никто	1	1
284	героя нашего	1	1
285	к бесам	4	1
286	событий и	1	1
287	ему в	1	1
288	один пример	1	1
289	того же	1	1
290	свою очередь	1	1
291	его почти	1	1
292	а другие	1	1
293	собой в	1	1
294	он был	3	1
295	а еще	1	1
296	он обратился	1	1
297	в преступлении	1	1
298	служит для	1	1
299	то он	1	1
300	же на	1	1
301	всего он	1	1
302	не все	1	1
303	в качестве	1	1
304	тут же	1	1
305	руку и	1	1
306	от злости	1	1
307	отнюдь не	2	1
308	в петербурге	1	1
309	независимо от	1	1
310	тем более	2	1
311	как нам	1	1
312	что слово	1	1
313	нему с	1	1
314	в письмах	2	1
315	что достоевский	4	1
316	в ответ	1	1
317	романа это	1	1
318	это такая	1	1
319	в этой	2	1
320	роль в	1	1
321	во многих	1	1
322	достоевского а	1	1
323	не могла	1	1
324	одному из	1	1
325	тут вдруг	1	1
326	ведь не	1	1
327	из него	1	1
328	никому не	1	1
329	он одновременно	1	1
330	выражение его	1	1
331	человека в	3	1
332	совпадают с	1	1
333	что этот	1	1
334	есть все	1	1
335	об этом	5	1
336	меня под	1	1
337	в глубине	1	1
338	достоевского он	2	1
339	в итоге	1	1
340	был очень	1	1
341	достоевский и	8	1
342	далеко не	3	1
