N	2gram	Tiupa_Anal_2	BTomashe
1	у нас	1	3
2	и не	12	2
3	можно было	3	2
4	все это	4	2
5	говорить о	6	1
6	и меньше	1	1
7	с другой	6	1
8	о свободе	2	1
9	не все	1	1
10	совершенно не	1	1
11	переходя к	1	1
12	в своей	2	1
13	художественного произведения	2	1
14	по крайней	3	1
15	и о	1	1
16	и ее	1	1
17	точно и	1	1
18	на которой	1	1
19	не вполне	1	1
20	и в	16	1
21	будто бы	1	1
22	так и	15	1
23	за пределы	4	1
24	крайней мере	3	1
25	не о	2	1
26	зато очень	1	1
27	об этом	1	1
28	неудивительно что	1	1
29	что все	2	1
30	же не	2	1
31	короче говоря	1	1
32	и во	2	1
33	функцией в	1	1
34	было бы	3	1
35	отнюдь не	8	1
36	одной из	3	1
37	далеко не	1	1
38	и потому	1	1
39	в пределах	9	1
40	в значительной	2	1
41	никак не	2	1
42	о смысловом	1	1
43	его не	1	1
44	о них	1	1
45	и более	1	1
46	прежде всего	3	1
47	что в	2	1
48	таким образом	2	1
49	всего в	2	1
50	но автор	1	1
51	а о	1	1
52	еще не	2	1
53	как будто	3	1
54	в речи	3	1
55	не только	16	1
56	в данном	8	1
57	не следует	2	1
58	и на	6	1
59	другой стороны	2	1
60	значительной степени	2	1
61	тем более	1	1
62	а не	10	1
