1	и т д	8	15
2	с другой стороны	3	7
3	до сих пор	8	5
4	тем не менее	9	5
5	в этом случае	4	5
6	в том что	8	5
7	как мы видели	2	5
8	в связи с	4	3
9	в данном случае	4	3
10	с одной стороны	4	2
11	это еще не	1	2
12	не только не	1	2
13	в одном из	1	2
14	в то время	1	2
15	по отношению к	2	2
16	мы имеем в	1	2
17	к тому же	2	2
18	что и в	2	2
19	но все же	1	2
20	о том что	3	2
21	во всяком случае	1	2
22	здесь могут быть	1	2
23	можно возразить что	1	1
24	мы видели есть	1	1
25	в том числе	2	1
26	себе ничего не	1	1
27	одной и той	1	1
28	но и в	1	1
29	так далеко что	1	1
30	не только в	3	1
31	это вовсе не	1	1
32	а не с	1	1
33	это так то	1	1
34	в том смысле	1	1
35	ту же функцию	1	1
36	о том чтобы	1	1
37	ставит себе целью	1	1
38	после того как	4	1
39	что они могут	1	1
40	что дело здесь	1	1
41	могло бы составить	1	1
42	т е с	1	1
43	но она может	1	1
44	а так как	1	1
45	то обстоятельство что	3	1
46	если это так	1	1
47	может оказаться весьма	1	1
48	есть один из	1	1
49	силу того что	1	1
50	и что на	1	1
51	может быть и	1	1
52	друг от друга	1	1
53	и той же	1	1
54	примеров можно привести	1	1
55	в тех случаях	1	1
56	хотя и не	1	1
57	заключается в том	1	1
58	также и в	1	1
59	из того что	1	1
60	можно было бы	10	1
61	с точки зрения	16	1
62	она не могла	1	1
63	с этой точки	1	1
64	со стороны ее	1	1
65	вместе с тем	1	1
66	по себе ничего	1	1
67	смысле этого слова	2	1
68	именно так и	1	1
69	не может быть	3	1
70	так как они	1	1
71	имеет своей целью	1	1
72	но в этом	1	1
73	таких примеров можно	1	1
74	отношение к нашей	1	1
75	в самых разнообразных	1	1
76	на себе внимание	1	1
77	потому что как	3	1
78	так же как	1	1
79	на самом деле	3	1
80	на этот вопрос	1	1
81	и для этой	1	1
82	в таком случае	2	1
83	в свою очередь	1	1
84	и прежде всего	1	1
85	у нас в	1	1
86	в чем же	1	1
87	с тем что	1	1
88	уже потому что	1	1
89	и вместе с	1	1
90	то же в	1	1
91	в силу которых	3	1
92	здесь можно было	2	1
93	этой точки зрения	1	1
94	тех случаях когда	1	1
95	только то что	2	1
96	в силу того	1	1
