N	3gram	Tiupa_Disk_2	Tragedij
1	то же время	5	5
2	в то же	4	5
3	так и в	3	3
4	в отличие от	12	2
5	и в частности	1	2
6	в данном случае	6	2
7	и как бы	2	2
8	о том что	3	2
9	в том что	6	2
10	в этом случае	2	1
11	как и его	1	1
12	в этом мире	2	1
13	в обоих случаях	2	1
14	и не может	2	1
15	позиции в мире	1	1
16	и то что	2	1
17	можно так выразиться	1	1
18	а стало быть	1	1
19	в применении к	1	1
20	во всяком случае	1	1
21	и не быть	1	1
22	но при этом	2	1
23	тем не менее	1	1
24	не могут быть	1	1
25	по природе своей	2	1
26	если можно так	1	1
27	не может быть	3	1
28	приходит в голову	1	1
29	и все же	3	1
30	прежде всего отметим	1	1
31	отнюдь не является	1	1
32	в одном из	1	1
33	с самого начала	1	1
34	мысль о том	1	1
35	в самом деле	1	1
36	на всем протяжении	1	1
37	друг друга и	1	1
38	как и в	5	1
