N	3gram	Ircho_Kome_2	Problemy
1	с точки зрения	1	9
2	до сих пор	2	8
3	не может быть	1	8
4	в большинстве случаев	1	8
5	в пределах одного	1	6
6	по отношению к	3	5
7	то же время	3	5
8	в то же	3	5
9	друг с другом	2	5
10	в самом деле	1	4
11	в том числе	3	4
12	более или менее	1	3
13	в отличие от	2	3
14	том числе и	1	3
15	с другой стороны	1	3
16	на себя внимание	5	2
17	в этом смысле	2	2
18	мы находим в	1	2
19	но и в	1	2
20	можно было бы	2	2
21	в том что	5	2
22	ни в одном	1	2
23	о том что	4	2
24	сих пор не	1	2
25	той или иной	1	2
26	может быть более	1	2
27	сплошь да рядом	1	1
28	иначе обстоит дело	1	1
29	в том же	1	1
30	и во всех	1	1
31	и в то	1	1
32	в той же	2	1
33	а может быть	1	1
34	может быть даже	1	1
35	все это время	1	1
36	не в его	1	1
37	что и на	2	1
38	с одной стороны	2	1
39	по сравнению с	1	1
40	так или иначе	3	1
41	в нем не	2	1
42	в связи с	3	1
43	строить свою речь	1	1
44	к тому же	10	1
45	во всяком случае	2	1
46	таким образом и	1	1
47	а затем и	2	1
48	вместо того чтобы	1	1
49	знать друг друга	1	1
50	внешней и внутренней	1	1
51	и в тех	1	1
52	у него в	1	1
53	нельзя сказать о	1	1
54	так и в	1	1
55	берет на себя	2	1
56	то что не	1	1
57	с самого начала	1	1
58	что в нем	1	1
59	ведь он не	1	1
60	не только в	1	1
61	но в этом	1	1
62	но все же	1	1
63	как мы знаем	1	1
64	друг от друга	1	1
65	после того как	2	1
66	концы с концами	1	1
67	к тому что	2	1
68	в каждом из	1	1
69	никак не может	1	1
70	не приходит в	1	1
71	молодого человека в	1	1
