N	4gram	Trubetskoy_1	Myslijsy
1	в то же время	2	3
2	и до сих пор	1	2
3	до сих пор не	2	1
4	в том числе и	1	1
5	тем не менее в	1	1
6	лишь в том случае	2	1
7	заключается в том что	2	1
8	а в том что	1	1
9	есть не более как	1	1
10	том случае если бы	1	1
11	одного и того же	3	1
12	в настоящее время мы	1	1
13	выше мы видели что	1	1
14	то это потому что	1	1
15	что же касается до	2	1
16	таким образом мы видим	1	1
17	в том виде в	1	1
18	в том и другом	1	1
19	в этом случае мы	1	1
20	лишь самое незначительное количество	1	1
21	и не может быть	1	1
22	вытекают из самой сущности	1	1
23	одной и той же	1	1
24	не в том что	1	1
25	то же самое что	1	1
26	а может быть и	1	1
27	разница только в степени	1	1
28	стороны одного и того	1	1
29	а для того чтобы	1	1
30	на первый взгляд кажется	1	1
31	в том случае если	4	1
32	на самом деле есть	1	1
33	нет и не может	1	1
34	в том что как	1	1
35	дело в том что	1	1
36	и того же явления	1	1
