N	3gram	Bakhtin_Fr_7	PoTuStor
1	с точки зрения	3	6
2	по ту сторону	1	4
3	на самом деле	1	4
4	с самого начала	1	4
5	в этом смысле	1	3
6	во всяком случае	1	3
7	в большинстве случаев	2	3
8	и может быть	1	2
9	по аналогии с	1	2
10	нет никаких оснований	1	2
11	в его целом	2	2
12	все то что	3	2
13	можно определить как	1	2
14	о том что	1	2
15	и в этом	1	2
16	и с его	1	2
17	уже знаем что	1	1
18	на этом моменте	1	1
19	и связанные с	1	1
20	дело в том	2	1
21	мы имеем в	2	1
22	новых и новых	1	1
23	имеем в виду	2	1
24	подлежит конечно никакому	1	1
25	то же самое	1	1
26	на первый план	1	1
27	как мы сказали	1	1
28	не может иметь	1	1
29	как и с	1	1
30	в этом отношении	2	1
31	нет ничего удивительного	1	1
32	а в конце	1	1
33	можно было бы	2	1
34	не подлежит конечно	1	1
35	все же в	1	1
36	как и всегда	1	1
37	со всех сторон	1	1
38	же что и	2	1
39	со всеми его	1	1
40	в данном случае	1	1
41	но именно этот	1	1
42	и в чем	1	1
43	в связи с	1	1
44	в году в	1	1
45	конечно никакому сомнению	1	1
46	характерно для всех	1	1
47	в применении к	1	1
48	лишь абстрактный момент	1	1
49	бы оно ни	2	1
50	в них и	1	1
51	в свое время	2	1
52	в том что	3	1
53	с его помощью	1	1
54	в разных местах	1	1
55	оно ни было	2	1
56	так как его	1	1
57	вместе с ним	1	1
58	так и в	3	1
59	это и есть	1	1
60	и прежде всего	1	1
61	что иное как	1	1
62	и таким путем	1	1
63	есть прежде всего	1	1
64	таким образом и	2	1
65	не что иное	1	1
66	в этой плоскости	1	1
67	если отвлечься от	1	1
68	мы уже знаем	1	1
69	мы увидим что	1	1
