N	3gram	Losev_Vlad_1	Literetu
1	то же время	4	9
2	в то же	4	9
3	не может быть	3	7
4	с одной стороны	1	6
5	в том что	7	5
6	с другой стороны	3	4
7	в этом отношении	1	3
8	в том чтобы	2	3
9	о том что	7	2
10	не говоря уже	1	2
11	говоря уже о	1	2
12	за то что	1	2
13	одно и то	1	2
14	и то же	1	2
15	в свое время	5	2
16	еще в году	1	2
17	тем не менее	2	2
18	в сравнении с	1	2
19	том что в	3	1
20	нет и не	1	1
21	а в конце	1	1
22	тех пор пока	1	1
23	а за ними	1	1
24	и когда он	1	1
25	мы имеем дело	1	1
26	как было сказано	2	1
27	но даже и	2	1
28	что уже в	1	1
29	что же касается	4	1
30	было сказано в	1	1
31	в ноябре года	1	1
32	на первом слоге	1	1
33	и для всех	1	1
34	и не может	1	1
35	я в этом	1	1
36	вместе с тем	1	1
37	что он не	3	1
38	бы то ни	1	1
39	только то что	1	1
40	ни к какой	1	1
41	все той же	1	1
42	до тех пор	1	1
43	и то что	4	1
44	и в то	2	1
45	в году но	1	1
46	и в году	1	1
47	для тех кто	1	1
48	но и его	1	1
49	в конце концов	3	1
50	имеем дело с	1	1
51	нам представляется что	1	1
52	пор пока не	1	1
53	кто из них	1	1
54	а в том	1	1
55	я не помню	2	1
56	в этом же	1	1
57	в свою очередь	1	1
58	не только не	1	1
59	то ни было	1	1
60	с этих позиций	1	1
61	как и сам	1	1
62	а с другой	1	1
63	к тому что	1	1
64	жизни а к	1	1
65	место в этом	1	1
66	для того чтобы	2	1
67	тех кто не	1	1
68	в себе не	1	1
