N	3gram	Savitsky_E_1	Problema
1	не может быть	2	11
2	с точки зрения	16	6
3	в отличие от	1	5
4	и прежде всего	3	5
5	в большинстве случаев	2	5
6	в данном случае	2	4
7	с другой стороны	2	4
8	в противном случае	1	3
9	в этом смысле	3	3
10	бы то ни	4	3
11	можно было бы	3	3
12	в применении к	3	3
13	с одной стороны	8	3
14	то же время	14	3
15	в том что	6	3
16	в то же	15	3
17	можно сказать что	3	2
18	имеет место в	2	2
19	в том же	1	2
20	но и в	1	2
21	в лучшем случае	1	2
22	то или иное	1	2
23	и в то	8	2
24	и в частности	2	2
25	то ни было	4	2
26	не только в	4	2
27	не могут быть	1	2
28	того или иного	4	2
29	так и в	2	2
30	мы можем сказать	2	2
31	и тем самым	1	2
32	той или иной	4	2
33	в известной степени	3	2
34	для того чтобы	5	2
35	в этом отношении	3	2
36	в той области	1	1
37	хотя и не	1	1
38	следует отметить что	1	1
39	мы сказали бы	1	1
40	только в пределах	1	1
41	культуры и в	1	1
42	в свою очередь	2	1
43	не говоря уже	2	1
44	также и в	1	1
45	имеют дело с	1	1
46	но и во	1	1
47	одной стороны и	6	1
48	но если так	1	1
49	в нем и	1	1
50	если так то	1	1
51	говоря уже о	1	1
52	хотя бы и	3	1
53	не может в	1	1
54	ней в ее	1	1
55	с тем что	1	1
56	или хотя бы	2	1
57	на то что	2	1
58	не есть ли	1	1
59	может быть и	1	1
60	несмотря на то	1	1
61	и не в	1	1
62	известной степени и	1	1
63	в значительной степени	1	1
64	то время как	1	1
65	но в то	2	1
66	смысле этого слова	1	1
67	она никогда не	1	1
68	а также и	1	1
69	в некоторых случаях	1	1
70	и в этом	4	1
71	по сравнению с	2	1
72	в связи с	1	1
73	в том смысле	1	1
74	о которых мы	1	1
75	одной стороны в	1	1
76	не входя в	1	1
77	по себе не	2	1
78	хотя бы только	1	1
79	то что в	2	1
80	есть ли это	1	1
81	том смысле что	1	1
82	в то время	1	1
83	чтобы войти в	1	1
84	та или иная	1	1
85	и т д	1	1
86	то есть в	1	1
87	и происходит в	1	1
88	дело идет о	2	1
89	хотя бы в	2	1
90	можем сказать что	1	1
91	выходит за пределы	1	1
92	не более как	1	1
93	и с точки	1	1
94	к тому что	1	1
95	на этот вопрос	1	1
96	дело в том	1	1
97	отметить что в	1	1
98	в основных чертах	1	1
99	то есть к	1	1
