N	2gram	Bakhtin_Fr_2	Hudozhes
1	в мире	2	23
2	в качестве	2	19
3	то есть	32	18
4	и не	15	16
5	в том	3	15
6	и в	49	15
7	не только	17	15
8	в частности	1	13
9	может быть	5	13
10	и его	17	12
11	при этом	5	12
12	а в	4	12
13	в себе	4	11
14	в этом	15	11
15	но не	5	11
16	отношению к	1	10
17	так и	6	10
18	но и	13	10
19	то же	7	10
20	по отношению	1	10
21	а не	1	10
22	как бы	11	10
23	точки зрения	6	9
24	в его	18	9
25	такого рода	2	9
26	своего рода	1	8
27	в то	6	7
28	с другой	4	7
29	но в	4	7
30	же время	6	6
31	не может	7	6
32	что в	2	6
33	не в	1	6
34	в ее	3	6
35	отношение к	8	6
36	с его	5	6
37	том что	4	6
38	с ее	3	5
39	можно сказать	2	5
40	в нем	9	5
41	художественного творчества	1	5
42	в их	2	5
43	ни в	3	5
44	того что	1	5
45	то что	6	5
46	и т.п	11	5
47	другой стороны	3	5
48	могут быть	2	5
49	в самом	3	5
50	и одновременно	1	5
51	только в	13	5
52	в форме	4	4
53	еще не	2	4
54	в другом	2	4
55	входит в	1	4
56	хотя и	2	4
57	место в	3	4
58	прежде всего	19	4
59	к которому	1	4
60	в своей	5	4
61	например в	1	4
62	для него	9	4
63	отношения к	4	4
64	к тому	1	4
65	в этих	4	4
66	сказать что	6	4
67	и т.д	2	4
68	он не	1	4
69	как к	2	4
70	и то	1	4
71	мы имеем	1	4
72	и как	1	4
73	как и	11	3
74	в которой	1	3
75	но он	6	3
76	в противоположность	2	3
77	того же	1	3
78	и для	1	3
79	перед лицом	2	3
80	и ее	1	3
81	не менее	1	3
82	таким образом	7	3
83	в произведении	2	3
84	к нему	3	3
85	как раз	1	3
86	так в	3	3
87	в художественном	2	3
88	и внешней	1	3
89	того или	1	3
90	его в	1	3
91	потому что	1	3
92	что он	3	3
93	это не	1	3
94	и к	4	3
95	в целом	1	3
96	лишь в	4	3
97	не на	1	3
98	в отношении	2	3
99	автора и	2	3
100	имеет место	1	3
101	литературы как	1	3
102	со своей	1	3
103	во всей	1	3
104	их в	3	3
105	далеко не	3	3
106	с точки	5	3
107	о чем	3	3
108	или иного	1	3
109	в области	4	3
110	внутренняя граница	1	3
111	в пределах	2	3
112	в виду	3	3
113	если бы	1	3
114	по своему	1	3
115	в свою	1	3
116	все эти	7	2
117	образом и	1	2
118	в значительной	3	2
119	но она	1	2
120	есть в	2	2
121	в литературе	6	2
122	одной из	2	2
123	могла бы	1	2
124	так же	2	2
125	никто не	2	2
126	здесь не	2	2
127	с иными	1	2
128	вовсе не	10	2
129	коем случае	1	2
130	в этой	10	2
131	с ним	4	2
132	даже в	3	2
133	на этом	1	2
134	не вполне	1	2
135	бы не	1	2
136	или напротив	1	2
137	того чтобы	2	2
138	во всех	6	2
139	вследствие этого	2	2
140	художественной литературы	2	2
141	в одном	3	2
142	в нашем	2	2
143	одно из	1	2
144	до известной	1	2
145	в итоге	1	2
146	в году	13	2
147	частной жизни	1	2
148	жизни в	3	2
149	оно не	1	2
150	по мысли	1	2
151	превращается в	3	2
152	к действительности	1	2
153	культуры в	1	2
154	в себя	6	2
155	к своему	1	2
156	значительной степени	2	2
157	и о	4	2
158	из которых	1	2
159	за пределы	2	2
160	и прежде	2	2
161	на всех	1	2
162	как в	1	2
163	в коем	1	2
164	в художественной	1	2
165	это и	2	2
166	человека и	3	2
167	нового времени	4	2
168	не входит	1	2
169	в чем	1	2
170	в силу	1	2
171	мире и	3	2
172	не является	1	2
173	для того	1	2
174	в романе	9	2
175	и потому	5	2
176	об этом	1	2
177	с их	6	2
178	в них	13	2
179	и весьма	1	2
180	одной стороны	3	2
181	одна из	4	2
182	слова в	1	2
183	у него	2	2
184	по преимуществу	2	2
185	мире это	1	2
186	именно в	6	2
187	с одной	3	2
188	о том	3	2
189	и на	17	2
190	себя и	1	2
191	для себя	1	2
192	роль в	5	2
193	однако все	1	2
194	несмотря на	3	2
195	я не	1	2
196	и сам	1	2
197	известной степени	1	2
198	из которого	1	2
199	могло быть	1	2
200	о его	1	2
201	для понимания	2	2
202	лично для	1	2
203	и по	1	2
204	времени и	6	2
205	что может	1	2
206	и др	9	2
207	и особенно	3	2
208	и это	3	2
209	классицизма в	1	2
210	и более	4	2
211	в своем	5	2
212	несколько иной	1	1
213	что по	1	1
214	внутреннее единство	1	1
215	до минимума	1	1
216	не могла	1	1
217	и совершенно	1	1
218	но из	1	1
219	себе в	2	1
220	из этих	5	1
221	ничто не	1	1
222	и здесь	1	1
223	на его	2	1
224	места в	1	1
225	входят в	1	1
226	с высокой	1	1
227	бы в	1	1
228	для нас	1	1
229	то я	1	1
230	в свое	4	1
231	вся система	1	1
232	эстетическое восприятие	1	1
233	мире в	2	1
234	в связи	2	1
235	в него	2	1
236	в собственном	3	1
237	первую очередь	1	1
238	нового понимания	1	1
239	с нею	1	1
240	смерть не	1	1
241	вместе с	2	1
242	которому принадлежит	1	1
243	на их	1	1
244	жизни и	7	1
245	говорит о	1	1
246	от этого	1	1
247	обнаруживает тот	1	1
248	и глубже	1	1
249	что они	2	1
250	и который	1	1
251	героя как	1	1
252	на это	1	1
253	в более	1	1
254	эти два	2	1
255	здесь и	1	1
256	от мира	1	1
257	значение для	1	1
258	и процесс	1	1
259	о своих	1	1
260	образа и	1	1
261	самое существенное	1	1
262	связи с	2	1
263	и со	3	1
264	есть не	1	1
265	существенный момент	1	1
266	не было	4	1
267	смысла и	2	1
268	после того	1	1
269	появление и	1	1
270	рядом с	6	1
271	на многих	1	1
272	к числу	2	1
273	иллюстрации к	1	1
274	из характернейших	1	1
275	одновременно и	1	1
