N	3gram	Losev_Vlad_2	Literetu
1	то же время	3	7
2	в то же	3	7
3	в этом отношении	1	5
4	в отличие от	3	5
5	к тому же	1	5
6	не говоря уже	2	4
7	в данном случае	2	4
8	о том что	3	4
9	в том что	9	4
10	в том числе	1	3
11	с точки зрения	3	3
12	говоря уже о	2	3
13	не может быть	1	3
14	то что я	1	2
15	в самом деле	1	2
16	бы то ни	1	2
17	и в частности	1	2
18	в том чтобы	2	2
19	не только в	2	2
20	так или иначе	3	2
21	на то что	2	2
22	что иное как	1	1
23	сам он в	1	1
24	хотя и не	2	1
25	жизни и человек	1	1
26	было бы и	1	1
27	по существу своему	1	1
28	к бытию в	1	1
29	в последний год	3	1
30	так и не	2	1
31	вместе с тем	1	1
32	а также в	1	1
33	у него не	1	1
34	в первую очередь	1	1
35	при этом в	1	1
36	во второй половине	2	1
37	то что в	1	1
38	но это не	1	1
39	на нее и	1	1
40	почти никогда не	1	1
41	и тем не	1	1
42	и то что	5	1
43	чем он сам	1	1
44	в самом начале	1	1
45	не что иное	1	1
46	содержит в себе	4	1
47	в году он	1	1
48	соловьева с его	1	1
49	в связи с	8	1
50	и наконец в	1	1
51	для того чтобы	1	1
52	и в том	1	1
53	что несмотря на	1	1
54	духовного общения людей	1	1
55	более или менее	3	1
56	не может оставаться	1	1
57	по существу это	1	1
58	в свою очередь	2	1
59	еще в году	1	1
60	содержат в себе	1	1
61	ничего общего с	1	1
62	тем не менее	6	1
63	это не только	1	1
64	того чтобы стать	1	1
65	может быть в	1	1
66	вот в чем	1	1
67	в чем дело	1	1
68	и следовало ожидать	1	1
69	как и следовало	1	1
