N	3gram	Voloshinov_1	Problemy
1	с точки зрения	2	9
2	до сих пор	3	8
3	не может быть	7	8
4	и не может	3	7
5	в то же	1	5
6	по отношению к	11	5
7	то же время	1	5
8	в самом деле	1	4
9	как и в	1	3
10	сам по себе	1	3
11	с другой стороны	2	3
12	имеем в виду	2	3
13	более или менее	1	3
14	мы имеем в	1	3
15	нам кажется что	1	3
16	дело в том	4	2
17	в этом смысле	1	2
18	о том что	1	2
19	и не в	3	2
20	мы увидим что	1	2
21	но в то	1	2
22	мы уже сказали	1	2
23	как если бы	4	2
24	в том что	4	2
25	можно сказать что	5	2
26	сих пор не	1	2
27	сама по себе	1	2
28	быть более или	1	2
29	может быть более	1	2
30	но и в	1	2
31	сами по себе	1	2
32	выходят за пределы	2	2
33	можно было бы	1	2
34	точек зрения и	1	2
35	в отношении к	2	2
36	как мы уже	1	2
37	с одной стороны	2	1
38	с самого начала	1	1
39	в том же	1	1
40	что мы имеем	1	1
41	так же как	1	1
42	одно и то	2	1
43	не должна быть	1	1
44	они как бы	1	1
45	и в поэзии	1	1
46	для историка литературы	1	1
47	влияние на все	1	1
48	одним и тем	1	1
49	хотя и здесь	1	1
50	и в формах	1	1
51	ровно ничего не	1	1
52	определяет его структуру	1	1
53	что до сих	1	1
54	отношению к ним	1	1
55	может быть и	3	1
56	звучит так как	2	1
57	между тем как	1	1
58	бы не было	1	1
59	еще раз подчеркнуть	1	1
60	не совпадает с	1	1
61	так как если	4	1
62	и тем же	1	1
63	том что все	1	1
64	же как и	1	1
65	но это же	1	1
66	становятся все более	1	1
67	и в нем	1	1
68	берет на себя	1	1
69	здесь вовсе не	1	1
70	никогда не бывает	1	1
71	в одном голосе	1	1
72	и то же	2	1
73	в значительной степени	1	1
74	на самом же	1	1
75	самом деле в	1	1
76	если же он	1	1
77	а не к	1	1
78	определяет не только	1	1
79	то что мы	1	1
80	друг о друге	1	1
81	но все же	1	1
82	раз подчеркнуть что	1	1
83	следует отметить что	1	1
84	самом же деле	1	1
85	отражает в себе	3	1
86	все же не	1	1
87	если бы оно	1	1
88	форма сама по	1	1
89	в высшей степени	1	1
90	героя никогда не	1	1
91	здесь таким образом	1	1
92	но прежде всего	1	1
93	если бы не	1	1
94	и различные степени	1	1
95	в жизни и	2	1
96	во всяком случае	1	1
97	в данном случае	2	1
98	одной стороны и	2	1
99	подчеркнуть что мы	1	1
100	к тому же	1	1
101	а между тем	1	1
