N	3gram	Tiupa_Teor_1	Poddanst
1	в то же	5	7
2	то же время	5	7
3	в отношении к	1	5
4	в том что	8	4
5	с точки зрения	3	3
6	в сравнении с	1	3
7	с одной стороны	2	3
8	в том числе	2	2
9	и в то	1	2
10	заключает в себе	1	2
11	в полной мере	1	2
12	заключается в том	1	2
13	том что в	1	1
14	– все это	1	1
15	в этом мире	2	1
16	мы видим в	1	1
17	видим в нем	1	1
18	есть как бы	1	1
19	более или менее	2	1
20	в этом смысле	2	1
21	начала и конца	1	1
22	сколько бы ни	1	1
23	тот или иной	2	1
24	только в условиях	1	1
25	можно говорить о	1	1
26	в отличие от	6	1
27	так же как	1	1
28	но в отличие	1	1
29	между тем в	1	1
30	с тем же	1	1
31	с другой стороны	5	1
32	не может быть	4	1
33	та или иная	1	1
34	тем и другим	1	1
35	и теперь в	1	1
36	ни к чему	1	1
37	и тем самым	2	1
38	но в то	1	1
39	именно потому что	1	1
40	в русской культуре	1	1
41	в большинстве случаев	1	1
42	в известном смысле	1	1
43	для того чтобы	1	1
44	том числе и	1	1
45	не только мы	1	1
