N	3gram	Berdyaev_M_1	Istorich
1	до сих пор	2	5
2	в том что	1	5
3	в ином мире	1	4
4	что иное как	1	3
5	не что иное	1	3
6	с одним из	1	2
7	по отношению к	2	2
8	что и в	1	2
9	то время как	2	2
10	во всяком случае	1	2
11	в то время	2	2
12	о том что	1	2
13	он ничего не	1	2
14	мы имеем в	1	2
15	и есть что	1	1
16	о себе и	1	1
17	вопрос и о	1	1
18	но и в	4	1
19	с тем что	3	1
20	можно было бы	1	1
21	к этой мысли	1	1
22	вместе с тем	5	1
23	в каком это	1	1
24	может быть и	1	1
25	в том смысле	2	1
26	в них нет	2	1
27	не только в	2	1
28	отличает его от	1	1
29	так как они	1	1
30	них нет ничего	1	1
31	и в том	1	1
32	от разрушения и	1	1
33	к ней в	1	1
34	и вместе с	4	1
35	это и есть	4	1
36	не может быть	17	1
37	она не может	1	1
38	на том что	1	1
