N	2gram	Vinokur_St_2	Sotsiolo
1	все это	11	7
2	в том	27	5
3	в этом	21	5
4	более чем	1	3
5	для нас	1	3
6	не только	19	3
7	и в	29	3
8	не в	4	3
9	в его	13	3
10	за пределы	1	2
11	но и	19	2
12	конце концов	1	2
13	было бы	5	2
14	к которому	1	2
15	только в	2	2
16	дело не	2	2
17	в результате	2	2
18	том что	27	2
19	одно дело	1	2
20	в частности	4	2
21	как будто	1	2
22	идей и	1	2
23	то что	11	2
24	и что	6	2
25	литературы и	1	2
26	еще не	1	2
27	ведь это	1	2
28	таким образом	10	2
29	это и	1	2
30	отношению к	1	2
31	в конце	2	2
32	что в	19	2
33	может быть	2	2
34	как бы	5	2
35	по отношению	1	2
36	очевидно что	2	2
37	по существу	2	2
38	то же	2	2
39	быть для	1	1
40	что все	1	1
41	вряд ли	3	1
42	быть не	1	1
43	наконец в	3	1
44	по себе	3	1
45	даже в	2	1
46	так называемым	1	1
47	в этой	2	1
48	тому что	7	1
49	пишет следующее	1	1
50	эти два	1	1
51	даже не	1	1
52	но одно	1	1
53	которая должна	1	1
54	на все	1	1
55	с другой	4	1
56	его в	2	1
57	на этот	2	1
58	именно в	4	1
59	в чем	1	1
60	все же	6	1
61	один из	1	1
62	в то	2	1
63	хотелось бы	1	1
64	мысли в	1	1
65	тем же	2	1
66	еще и	3	1
67	а с	3	1
68	тем что	3	1
69	и как	2	1
70	в процессе	2	1
71	этому соответствует	1	1
72	что он	13	1
73	не пошел	2	1
74	прежде всего	5	1
75	бы он	1	1
76	в них	2	1
77	так и	9	1
78	не было	3	1
79	те же	1	1
80	но только	1	1
81	и не	9	1
82	пишет он	2	1
83	на тех	1	1
84	никогда не	3	1
85	на основании	1	1
86	он по	2	1
87	не место	1	1
88	к вопросам	1	1
89	мы не	1	1
90	же время	1	1
91	ничего не	4	1
92	и о	4	1
93	связь между	1	1
94	все эти	2	1
95	это же	1	1
96	как и	2	1
97	бы в	1	1
98	в настоящее	1	1
99	в таких	1	1
100	в сущности	1	1
101	образом в	1	1
102	конечно не	1	1
103	в связи	1	1
104	иначе и	1	1
105	и его	6	1
106	в этих	3	1
107	место в	1	1
108	связи с	4	1
109	хотя бы	3	1
110	не может	2	1
111	в своей	7	1
112	а в	1	1
113	что она	1	1
114	о том	17	1
115	не дает	2	1
116	и русская	1	1
117	в области	2	1
118	и потому	2	1
119	настоящее время	1	1
120	но именно	1	1
121	в котором	7	1
122	никак не	2	1
123	между ними	1	1
124	и стиля	1	1
125	столь же	1	1
126	всяком случае	3	1
127	ни на	1	1
128	должно было	3	1
129	что это	3	1
130	вовсе не	6	1
131	новое и	1	1
132	неудачей но	1	1
133	может служить	1	1
134	тех методов	1	1
135	а между	1	1
136	но не	3	1
137	у него	1	1
138	а тем	1	1
139	в данном	2	1
140	между тем	5	1
141	но как	1	1
142	и по	3	1
143	что на	3	1
144	понимать что	1	1
145	и более	2	1
146	во всяком	3	1
147	в каждом	1	1
148	они не	2	1
