N	3gram	Potebnia_M_4	Sovremen
1	мы не можем	3	6
2	с точки зрения	3	5
3	не может быть	5	4
4	мы видели что	1	3
5	с самого начала	1	3
6	тем не менее	4	2
7	во всяком случае	3	2
8	в свою очередь	1	2
9	самый вопрос о	1	2
10	не подлежит сомнению	1	2
11	может быть и	1	2
12	в настоящее время	1	2
13	то же самое	4	2
14	мы это увидим	1	1
15	что иное как	2	1
16	и в этом	4	1
17	и есть то	1	1
18	по крайней мере	5	1
19	не могут быть	2	1
20	не в том	2	1
21	в связи с	1	1
22	все более и	2	1
23	сказать несколько слов	2	1
24	дело в том	1	1
25	по отношению к	8	1
26	равно как и	2	1
27	одна и та	1	1
28	на самом деле	3	1
29	и до сих	2	1
30	он может быть	1	1
31	и той же	1	1
32	когда мы говорим	3	1
33	в свое время	1	1
34	в этом случае	5	1
35	один и тот	2	1
36	а потом и	1	1
37	не было бы	1	1
38	смысле можно говорить	1	1
39	как происходит это	1	1
40	первое и основное	1	1
41	и еще более	1	1
42	до сих пор	4	1
43	то же время	3	1
44	нуждаются в объяснении	1	1
45	но тем не	2	1
46	сами по себе	2	1
47	мы должны признать	1	1
48	есть не что	1	1
49	может иметь место	1	1
50	и та же	1	1
51	а может быть	1	1
52	таким образом все	1	1
53	мы не знаем	1	1
54	в одном направлении	1	1
55	заключают в себе	1	1
56	заключает в себе	8	1
57	более и более	2	1
58	и не может	1	1
59	не более как	1	1
60	мы говорим о	1	1
61	может быть только	1	1
62	в том случае	3	1
63	в то же	3	1
64	одной и той	1	1
65	не что иное	2	1
66	и мы получим	1	1
67	иметь место только	1	1
68	в себе в	1	1
69	в том что	7	1
70	том случае когда	1	1
71	в данном случае	2	1
72	на этот вопрос	2	1
73	можем ли мы	1	1
74	же самое что	1	1
75	с одной стороны	1	1
76	именно в том	1	1
77	и тот же	2	1
