N	2gram	Medvedev_V_1	Freidism
1	таким образом	31	24
2	и не	19	23
3	не может	17	20
4	точки зрения	3	19
5	прежде всего	13	18
6	в этом	26	15
7	в его	14	15
8	может быть	22	13
9	и его	6	12
10	все эти	6	11
11	как и	7	11
12	по фрейду	1	11
13	как бы	5	11
14	то что	6	11
15	самом деле	1	10
16	но в	2	10
17	его в	3	10
18	с ним	1	10
19	как мы	1	10
20	так и	5	10
21	и потому	2	10
22	с его	3	9
23	во всех	6	9
24	по отношению	7	9
25	фрейд и	1	9
26	и в	26	9
27	то же	10	8
28	не только	25	8
29	он не	2	8
30	в своей	4	8
31	еще не	2	8
32	оно и	1	8
33	что он	4	8
34	только в	7	8
35	все это	10	8
36	и все	1	8
37	отношению к	7	8
38	в самом	4	7
39	отношение к	1	7
40	и наконец	2	7
41	ни в	1	7
42	мы видели	3	7
43	один из	5	7
44	мы знаем	3	7
45	всяком случае	1	7
46	сказать что	5	7
47	во всяком	1	7
48	фрейд в	1	6
49	в ней	2	6
50	за пределы	1	6
51	все те	1	6
52	так сказать	2	6
53	на протяжении	1	6
54	и ее	4	6
55	того что	3	6
56	для него	8	6
57	вовсе не	3	6
58	никогда не	4	6
59	хотя бы	19	6
60	совершенно не	1	6
61	он сам	2	5
62	в чем	2	5
63	и к	3	5
64	в этой	4	5
65	что такое	2	5
66	обыденной жизни	1	5
67	знаем что	2	5
68	не в	6	5
69	в то	6	5
70	в каком	1	5
71	могут быть	5	5
72	для этого	1	5
73	можно сказать	4	5
74	для того	3	5
75	а в	3	5
76	но и	10	5
77	с этим	3	5
78	в свою	1	5
79	что в	10	5
80	смысле слова	2	4
81	в зависимости	6	4
82	связанных с	1	4
83	в которой	2	4
84	говорить о	2	4
85	зависимости от	5	4
86	но не	2	4
87	человеческой психики	1	4
88	все же	5	4
89	не было	7	4
90	из этих	7	4
91	в пределах	5	4
92	в нем	6	4
93	всех этих	2	4
94	на этом	1	4
95	об этом	9	4
96	с другими	2	4
97	в жизни	2	4
98	на основании	8	4
99	во время	3	4
100	не менее	2	4
101	в основе	1	4
102	же время	5	4
103	потому что	1	4
104	и для	2	4
105	к тому	4	4
106	того чтобы	3	4
107	данном случае	1	4
108	сводится к	3	4
109	это только	4	4
110	которой мы	1	4
111	и образы	3	4
112	с ними	4	4
113	конечно не	1	4
114	уже не	1	4
115	не дает	1	4
116	в котором	3	4
117	как раз	3	4
118	от того	2	4
119	последнем счете	1	4
120	и др	9	4
121	себя и	1	4
122	в данном	1	4
123	в более	1	4
124	в этих	1	4
125	этот вопрос	3	4
126	между ними	3	4
127	в последнем	2	4
128	с бессознательным	1	4
129	в таком	1	4
130	таком случае	1	3
131	человека и	3	3
132	и есть	5	3
133	на себя	1	3
134	он был	1	3
135	а только	1	3
136	конечном счете	5	3
