N	2gram	Vinokur_Ku_2	Tvorches
1	у достоевского	1	28
2	и в	23	21
3	как бы	4	17
4	в то	4	15
5	то же	6	13
6	в его	5	13
7	как и	2	12
8	же время	3	12
9	что в	10	12
10	с его	1	11
11	том что	11	11
12	все это	5	10
13	как в	3	8
14	он не	3	8
15	то что	9	8
16	в году	2	7
17	и на	6	7
18	но в	11	7
19	не только	20	7
20	при этом	2	7
21	тем самым	2	7
22	во многом	1	7
23	у него	3	7
24	и не	16	7
25	в том	19	7
26	в свою	2	7
27	в этом	18	6
28	в котором	1	6
29	не менее	7	6
30	и его	3	6
31	по природе	1	6
32	о том	1	6
33	и все	2	6
34	что он	5	6
35	для него	1	6
36	а в	3	6
37	отнюдь не	4	5
38	все же	7	5
39	в этой	6	5
40	таким образом	5	5
41	вовсе не	9	5
42	в своих	2	5
43	потому что	25	5
44	как будто	2	5
45	только в	5	5
46	может быть	15	5
47	а не	10	5
48	но это	3	5
49	хотя бы	9	5
50	из всех	1	4
51	конечном счете	2	4
52	в своем	2	4
53	и как	1	4
54	в целом	1	4
55	это не	6	4
56	в своей	2	4
57	своего рода	4	4
58	не случайно	1	4
59	в конечном	2	4
60	русской литературе	1	4
61	одной из	1	4
62	прежде всего	8	4
63	не может	9	4
64	и от	2	4
65	один из	5	4
66	с большой	1	4
67	процесса в	1	4
68	ту же	6	3
69	и т	39	3
70	на самом	2	3
71	это и	3	3
72	той же	2	3
73	я не	5	3
74	не был	1	3
75	время в	1	3
76	что я	4	3
77	хотя и	4	3
78	в самом	12	3
79	в нем	4	3
80	первой части	1	3
81	и по	3	3
82	в каждом	1	3
83	что все	5	3
84	и с	7	3
85	на протяжении	1	3
86	достоевского и	2	3
87	соответствии с	2	3
88	далеко не	1	3
89	в их	2	3
90	место в	1	3
91	даже в	1	3
92	дело не	2	3
93	самого начала	1	3
94	дело в	1	3
95	никогда не	2	3
96	вот почему	3	3
97	приходит к	1	3
98	с ее	1	3
99	и другие	1	3
100	с самого	1	3
101	того что	3	3
102	по мнению	1	3
103	уже не	8	3
104	уже в	3	3
105	в виде	1	3
106	не так	1	3
107	так как	15	3
108	в соответствии	3	3
109	в которой	1	3
110	связан с	1	3
111	и даже	2	3
112	с другой	8	3
113	но и	7	3
114	ни на	2	3
115	но не	6	3
116	он говорит	1	3
117	в книге	1	3
118	это как	1	3
119	это в	2	3
120	так же	4	3
121	вряд ли	4	2
122	в нашей	4	2
123	того же	3	2
