N	3gram	Vinokur_St_3	Komedia
1	на себя внимание	1	5
2	обращает на себя	1	5
3	в том что	11	5
4	вместе с тем	1	4
5	о том что	4	4
6	для того чтобы	1	4
7	так или иначе	1	3
8	в связи с	3	3
9	то же время	3	3
10	в то время	4	3
11	в последние десятилетия	1	3
12	в то же	3	3
13	одних и тех	1	2
14	не говоря уже	1	2
15	в этом смысле	4	2
16	в одной из	1	2
17	на пути к	1	2
18	до сих пор	2	2
19	говоря уже о	1	2
20	и тех же	1	2
21	то время как	4	2
22	с одной стороны	2	2
23	то что он	1	2
24	в самом начале	1	2
25	во всяком случае	4	2
26	что у него	1	2
27	независимо от того	2	2
28	в этом же	1	2
29	и т п	6	2
30	к этому времени	1	2
31	к тому что	2	2
32	можно было бы	1	2
33	в поле зрения	1	2
34	речь идет о	1	2
35	не означает что	1	1
36	я думаю что	1	1
37	сплошь да рядом	1	1
38	том что именно	1	1
39	как например в	4	1
40	время как в	1	1
41	потому что в	1	1
42	один из примеров	1	1
43	в самом деле	1	1
44	каждой из них	1	1
45	в молодые годы	1	1
46	в том же	1	1
47	сначала это было	1	1
48	что ни в	1	1
49	с точки зрения	4	1
50	с самого начала	2	1
51	но и в	2	1
52	то что в	1	1
53	в наше время	1	1
54	а то и	1	1
55	уже находясь в	1	1
56	и во всяком	1	1
57	той или иной	1	1
58	в этой области	2	1
59	что он был	2	1
60	ответ на это	1	1
61	должна была бы	2	1
62	если не считать	1	1
63	в чем же	1	1
64	вместе со своим	1	1
65	благодаря тому что	1	1
66	с другой стороны	4	1
67	свидетельствует не о	1	1
68	не может быть	5	1
69	к отказу от	1	1
70	появлялась на сцене	1	1
71	более или менее	1	1
72	но уже в	1	1
73	то обстоятельство что	5	1
74	в свою очередь	1	1
75	связи с этим	1	1
76	на протяжении всего	1	1
77	и в самом	1	1
78	не только в	3	1
79	ср с этим	2	1
80	но все же	2	1
81	что был способен	1	1
82	тем более что	2	1
83	г во время	1	1
84	была не просто	1	1
85	тем не менее	2	1
86	ее содержания и	1	1
87	как мы видели	1	1
88	почти одновременно с	1	1
