N	2gram	Bakhtin_KF_1	Tvorches
1	и в	24	21
2	как бы	9	17
3	в то	3	15
4	то же	5	13
5	в его	40	13
6	то есть	1	12
7	как и	5	12
8	же время	2	12
9	что в	4	12
10	с его	1	11
11	том что	4	11
12	все это	10	10
13	как в	2	8
14	он не	6	8
15	то что	7	8
16	и на	3	7
17	но в	5	7
18	не только	5	7
19	при этом	4	7
20	тем самым	4	7
21	и не	26	7
22	в том	6	7
23	в свою	3	7
24	в этом	14	6
25	в котором	24	6
26	не менее	3	6
27	и его	17	6
28	о том	3	6
29	и все	7	6
30	что он	2	6
31	для него	8	6
32	а в	4	6
33	жизни в	5	6
34	отнюдь не	6	5
35	все же	5	5
36	в этой	2	5
37	маленького человека	1	5
38	вовсе не	7	5
39	в своих	3	5
40	потому что	2	5
41	только в	16	5
42	может быть	45	5
43	а не	17	5
44	но это	6	5
45	это уже	2	5
46	хотя бы	4	5
47	не имеют	1	4
48	из всех	1	4
49	конечном счете	1	4
50	в своем	16	4
51	и как	2	4
52	та же	2	4
53	в целом	10	4
54	в человеке	1	4
55	это не	10	4
56	в своей	10	4
57	мысли и	1	4
58	в мире	6	4
59	времени и	4	4
60	в конечном	1	4
61	одной из	1	4
62	прежде всего	2	4
63	в момент	3	4
64	не может	27	4
65	и от	1	4
66	один из	2	4
67	я и	2	3
68	ту же	1	3
69	на самом	3	3
70	это и	2	3
71	той же	1	3
72	я не	6	3
73	не был	1	3
74	что я	5	3
75	со всеми	2	3
76	хотя и	1	3
77	к идеалу	1	3
78	в самом	1	3
79	в нем	28	3
80	он ни	2	3
81	на его	1	3
82	и по	1	3
83	в каждом	3	3
84	что все	1	3
85	и с	1	3
86	и других	2	3
87	соответствии с	2	3
88	в их	8	3
89	место в	5	3
90	человека но	1	3
91	есть основа	1	3
92	дело не	2	3
93	дело в	2	3
94	не по	4	3
95	никогда не	5	3
96	этой книги	1	3
97	с ее	2	3
98	с ним	5	3
99	в ту	2	3
100	того что	3	3
101	действительной жизни	3	3
102	уже не	7	3
103	в виде	2	3
104	так как	1	3
105	в соответствии	2	3
106	в которой	1	3
107	и даже	1	3
108	но и	9	3
109	к человеку	1	3
110	ни на	1	3
111	и будущего	1	3
112	подхода к	2	3
113	но не	12	3
114	не существует	1	3
115	просто не	1	3
116	жизни и	8	3
117	ее в	1	3
118	это в	1	3
119	себя как	2	2
120	того же	1	2
121	проблемы в	1	2
122	самом деле	3	2
123	в первом	1	2
124	действительности и	1	2
125	а как	2	2
126	на первом	2	2
127	мир с	1	2
128	и он	1	2
129	в ней	3	2
130	не нужно	2	2
131	в чем	4	2
132	нет не	1	2
133	человека его	1	2
134	же с	1	2
135	как к	2	2
136	когда он	1	2
137	и наконец	1	2
138	и будущее	2	2
139	но его	1	2
140	в себе	21	2
141	что она	1	2
142	по самому	1	2
143	тем не	2	2
144	в принципе	2	2
145	отношений между	1	2
146	здесь мы	4	2
147	не будет	2	2
148	а затем	1	2
149	а по	2	2
150	действительности в	2	2
151	и тем	3	2
152	когда я	3	2
153	в данном	2	2
154	такой же	1	2
155	в один	1	2
156	и того	2	2
157	в этих	1	2
158	не в	12	2
159	но он	1	2
160	и время	2	2
161	одна из	1	2
162	в основе	5	2
163	но только	1	2
164	к добру	1	2
165	к ней	1	2
166	людей и	2	2
167	в движении	1	2
168	в духе	1	2
169	могут быть	3	2
170	к тому	1	2
171	отказаться от	2	2
172	где он	3	2
173	в жизни	2	2
174	более не	1	2
175	в виду	3	2
176	не могу	3	2
177	мысль о	1	2
178	в себя	7	2
179	во главе	2	2
180	приводит к	1	2
181	на том	1	2
182	и когда	2	2
183	так и	2	2
184	живет в	1	2
185	здесь нет	2	2
186	об этом	1	2
187	во второй	1	2
188	жить только	1	2
189	можно сказать	1	2
190	может не	2	2
191	и та	2	2
192	настоящее время	1	2
193	и будет	1	2
194	других людей	1	2
195	что и	7	2
196	во всей	4	2
197	себя но	1	2
198	каких бы	1	2
199	и мир	2	2
200	в литературе	1	2
201	значит что	1	2
202	жизнь на	1	2
203	тот же	1	2
204	наше время	1	2
205	в качестве	2	2
206	же и	1	2
207	был бы	3	2
208	отдельного человека	1	2
209	только на	1	2
210	живой жизни	1	2
211	именно в	5	2
212	что не	3	2
213	до конца	3	2
214	зависит от	1	2
215	с которым	1	2
216	его как	5	2
217	мира в	6	2
218	человека как	1	2
219	вместе с	1	2
220	до этого	1	2
221	в него	2	2
222	пространства и	2	2
223	эти слова	1	2
224	еще более	2	2
225	в мир	1	2
226	в первой	1	2
227	первом плане	2	2
228	не мог	1	2
229	для этой	3	2
230	или в	1	2
231	ее и	6	2
232	из себя	8	2
233	только что	1	2
234	не знает	5	2
235	человек это	1	2
236	одновременно и	1	2
237	к этому	2	2
238	гораздо более	1	2
239	только он	1	1
240	бытия по	1	1
241	нельзя жить	1	1
242	в движение	1	1
243	чтобы не	2	1
244	и есть	9	1
245	этого мира	3	1
246	чего не	2	1
247	можно жить	1	1
248	и до	1	1
249	прошлое и	3	1
250	оно было	1	1
251	видения мира	1	1
252	места в	4	1
253	приближения к	1	1
254	и этот	3	1
255	бы эта	1	1
256	также и	1	1
257	мы уже	1	1
258	их и	1	1
259	мы имеем	5	1
260	как единство	1	1
261	и тут	1	1
262	единство и	1	1
263	он как	1	1
264	говорить о	2	1
265	и значимость	2	1
266	жизни это	1	1
267	течения времени	1	1
268	себе а	2	1
269	одно из	1	1
270	еще не	4	1
271	определяет человека	1	1
272	столь же	1	1
273	бы то	2	1
274	скорее наоборот	1	1
275	собою только	1	1
276	во всех	11	1
277	тем как	3	1
278	мышления как	2	1
279	здесь преобладает	1	1
280	совсем не	2	1
281	и всякий	1	1
282	его построения	1	1
283	него все	1	1
284	по отношению	26	1
285	вообще как	1	1
286	него с	1	1
287	в истории	1	1
288	с этим	1	1
289	светом в	1	1
290	частей и	1	1
291	сознания в	2	1
292	его к	2	1
293	и к	1	1
294	в действительности	1	1
295	в этот	1	1
296	от своей	5	1
297	это признание	2	1
298	или иную	1	1
299	за собой	1	1
300	при таком	1	1
301	для которого	3	1
302	к чему	3	1
303	места где	1	1
304	из жизни	1	1
305	бы и	3	1
306	что это	3	1
307	под ним	2	1
308	все эти	10	1
309	в известном	1	1
310	имеем в	2	1
311	если он	1	1
312	человек не	2	1
313	вследствие этого	2	1
314	видит и	2	1
315	отказа от	1	1
316	а просто	1	1
317	перестает быть	1	1
318	этих основных	1	1
319	но само	1	1
320	всех этих	3	1
321	не значит	6	1
322	не к	1	1
323	оно могло	1	1
324	на этом	1	1
325	подход к	1	1
326	то ни	2	1
327	же не	1	1
328	человек а	1	1
329	поэтому мы	1	1
330	его не	1	1
331	и чтобы	1	1
332	на все	1	1
333	его в	5	1
334	это было	2	1
335	и положение	2	1
336	который и	1	1
337	было бы	8	1
338	то все	1	1
339	форму и	1	1
340	все другие	1	1
341	весь мир	2	1
342	ни в	12	1
343	но мы	1	1
344	все равно	1	1
345	их для	2	1
346	с тем	2	1
347	всю жизнь	1	1
348	ибо он	1	1
349	и уже	1	1
350	одна и	1	1
351	он и	2	1
352	нигде не	3	1
353	индивидуальность как	1	1
354	меня но	4	1
355	жизни но	3	1
356	в не	1	1
357	чем в	1	1
358	и было	1	1
359	элемента в	1	1
360	одного и	1	1
361	можно только	1	1
362	я как	1	1
363	не мир	1	1
364	и ее	2	1
365	на месте	1	1
366	со своего	5	1
367	к предмету	1	1
368	разума с	1	1
369	бытие в	3	1
370	христос уже	1	1
371	чувство как	1	1
372	не от	1	1
373	для друга	1	1
374	бы что	1	1
375	от себя	10	1
376	центра и	1	1
377	но эта	5	1
378	образом и	1	1
379	в философии	1	1
380	разум есть	1	1
381	том же	1	1
382	что этот	3	1
383	по себе	2	1
384	тому что	2	1
385	как бытие	1	1
386	какие бы	1	1
387	в отношении	1	1
388	котором оно	1	1
389	отсюда его	1	1
390	что эта	2	1
391	меня не	3	1
392	что ему	1	1
393	в смысле	6	1
394	здесь лишь	1	1
395	не имеет	5	1
396	к этим	1	1
397	в процессе	2	1
398	и имеет	1	1
399	для всего	1	1
400	все свои	1	1
401	слово и	1	1
402	жизни не	1	1
403	эта действительность	1	1
404	и приводит	1	1
405	всю историю	1	1
406	до того	1	1
407	акт в	1	1
408	только с	3	1
409	и делает	2	1
410	все с	1	1
411	быть к	1	1
412	в области	2	1
413	ли это	2	1
414	или бессознательно	1	1
415	в трагедии	1	1
416	к себе	2	1
417	выход из	2	1
418	относиться к	1	1
419	но все	5	1
420	вокруг него	2	1
421	бы он	2	1
422	все попытки	4	1
423	не есть	20	1
424	за свою	1	1
425	имеет место	1	1
426	оно не	2	1
427	она не	1	1
428	и это	12	1
429	эта мысль	1	1
430	моя жизнь	1	1
431	и о	1	1
432	свою очередь	1	1
433	меня в	3	1
434	но при	1	1
435	всего этого	1	1
436	в ее	16	1
437	только не	1	1
438	и эстетическое	1	1
439	культуры и	5	1
440	по способу	1	1
441	и пространство	4	1
442	друг для	1	1
443	что может	1	1
444	особенно в	1	1
445	и религии	1	1
446	участия в	1	1
447	не предмет	1	1
448	его знает	1	1
449	за волосы	1	1
450	жизнь и	2	1
451	момента и	2	1
452	причина его	1	1
453	смысл бытия	1	1
454	каждый раз	1	1
455	при такой	1	1
456	и здесь	7	1
457	и должно	1	1
458	в действительной	4	1
459	он живет	1	1
460	религии и	1	1
461	она всегда	1	1
462	и просто	2	1
463	кажется что	2	1
464	и вследствие	1	1
465	но внутри	1	1
466	связь между	1	1
467	которая сама	1	1
468	к нему	12	1
469	литературе о	1	1
470	между тем	4	1
471	от них	1	1
472	уже чисто	1	1
473	была бы	1	1
474	нуждается в	1	1
475	вообще и	1	1
476	нем и	3	1
477	всем бытием	1	1
478	в жизнь	1	1
479	один момент	1	1
480	в современной	3	1
481	известном смысле	1	1
482	психическая реакция	1	1
483	с ними	3	1
484	и действительно	6	1
485	в разные	1	1
486	должен был	1	1
487	это очень	1	1
488	всех его	2	1
489	их не	1	1
490	только возможности	2	1
491	делает его	1	1
492	по всей	1	1
493	себя в	8	1
494	если мы	1	1
495	не знать	1	1
496	и место	1	1
497	но с	1	1
498	а это	2	1
499	в душе	1	1
500	и рядом	1	1
501	мышления и	2	1
502	его и	2	1
503	ту или	1	1
504	разные стороны	1	1
505	ведь это	1	1
506	могло бы	4	1
507	в одном	4	1
508	выводит из	1	1
509	отличен от	1	1
510	ее не	1	1
511	к ним	4	1
512	а через	1	1
513	философия жизни	1	1
514	тем что	3	1
