N	2gram	Bakhtin_KF_1	Analitik
1	в качестве	2	31
2	может быть	45	29
3	в том	6	27
4	не может	27	22
5	и не	26	21
6	и в	24	18
7	но и	9	17
8	а не	17	17
9	отнюдь не	6	15
10	не только	5	15
11	не в	12	14
12	в этом	14	13
13	как и	5	13
14	в его	40	13
15	при этом	4	12
16	том что	4	12
17	в себе	21	11
18	то есть	1	11
19	но не	12	10
20	то же	5	9
21	в то	3	9
22	а в	4	9
23	в принципе	2	8
24	в мире	6	8
25	но в	5	8
26	нуждается в	1	8
27	не есть	20	8
28	тем самым	4	7
29	к тому	1	7
30	этого слова	2	7
31	я и	2	6
32	мы имеем	5	6
33	по отношению	26	6
34	в самом	1	6
35	это не	10	6
36	точки зрения	12	6
37	в своей	10	6
38	в основе	5	6
39	по своей	1	6
40	той или	3	6
41	должен быть	7	6
42	в себя	7	6
43	времени и	4	6
44	же время	2	6
45	только в	16	6
46	себя в	8	6
47	то что	7	6
48	или иной	2	6
49	прежде всего	2	6
50	в их	8	5
51	и на	3	5
52	и как	2	5
53	в целом	10	5
54	в этой	2	5
55	лишь в	8	5
56	и его	17	5
57	имеет место	1	5
58	о том	3	5
59	сводится к	2	5
60	и того	2	5
61	между тем	4	5
62	и т.п	1	5
63	как бы	9	5
64	отношению к	22	5
65	что в	4	5
66	того же	1	4
67	столь же	1	4
68	более чем	1	4
69	все же	5	4
70	сознания в	2	4
71	не следует	1	4
72	с точки	9	4
73	по себе	2	4
74	в области	2	4
75	ни в	12	4
76	могут быть	3	4
77	так и	2	4
78	не с	1	4
79	с ним	5	4
80	лишь при	3	4
81	в другом	3	4
82	в конечном	1	4
83	того что	3	4
84	субъекта и	1	4
85	дело с	2	4
86	эстетической деятельности	1	4
87	уже не	7	4
88	конечном счете	1	4
89	для того	3	4
90	с другим	1	4
91	именно в	5	4
92	себя и	2	4
93	вместе с	1	4
94	из которых	2	4
95	в литературе	1	4
96	как предмет	2	4
97	не более	1	4
98	ни было	4	4
99	и есть	9	3
100	подхода к	2	3
101	место в	5	3
102	бы то	2	3
103	вступает в	3	3
104	и к	1	3
105	в нашем	1	3
106	в нем	28	3
107	он не	6	3
108	вследствие этого	2	3
109	то ни	2	3
110	не будет	2	3
111	бы быть	5	3
112	того или	3	3
113	смысл и	6	3
114	в котором	24	3
115	дело не	2	3
116	того чтобы	2	3
117	о нем	4	3
118	оно может	1	3
119	могла бы	4	3
120	если бы	8	3
121	к нему	12	3
122	с его	1	3
123	еще не	4	3
124	от себя	10	3
125	никто не	1	3
126	что и	7	3
127	принципиально не	2	3
128	а именно	1	3
129	а с	2	3
130	что не	3	3
131	смысла и	2	3
132	быть не	2	3
133	что мы	1	3
134	эстетического субъекта	1	3
135	она может	1	3
136	и все	7	3
137	хотя бы	4	3
138	я в	1	3
139	что он	2	3
140	или иного	3	3
141	говоря о	1	2
142	отношения к	1	2
143	не остается	2	2
144	самом деле	3	2
145	на самом	3	2
146	он может	2	2
147	в первом	1	2
148	едва ли	2	2
149	также и	1	2
150	той же	1	2
151	а как	2	2
152	в составе	2	2
153	и то	2	2
154	события в	3	2
155	на основе	7	2
156	отношение к	5	2
157	не просто	1	2
158	нет и	3	2
159	в акте	3	2
160	что именно	1	2
161	как к	2	2
162	не являются	1	2
163	его к	2	2
164	в которой	1	2
165	все эти	10	2
166	бы не	3	2
167	думать что	2	2
168	и до	1	2
169	на его	1	2
170	не к	1	2
171	и по	1	2
172	на этом	1	2
