N	3gram	Bakhtin_fo_1	SlovoVZh
1	по отношению к	3	11
2	не может быть	3	7
3	дело в том	2	4
4	как если бы	2	4
5	в том что	2	4
6	может быть и	2	3
7	до сих пор	3	3
8	и то же	3	2
9	имеем в виду	1	2
10	одной стороны и	2	2
11	с точки зрения	2	2
12	в зависимости от	1	2
13	до известной степени	1	2
14	но отнюдь не	1	2
15	одно и то	3	2
16	в данном случае	1	2
17	в жизни и	1	2
18	с одной стороны	2	2
19	том что в	1	1
20	но все же	2	1
21	в пространстве и	1	1
22	и в этом	1	1
23	в чем не	2	1
24	которого и является	1	1
25	или хотя бы	1	1
26	в нашем случае	1	1
27	на второй план	1	1
28	ровно ничего не	1	1
29	все более и	1	1
30	то время как	2	1
31	друг к другу	2	1
32	во всяком случае	1	1
33	мы уже сказали	2	1
34	в самом деле	1	1
35	здесь же мы	1	1
36	же как и	2	1
37	прежде всего совершенно	1	1
38	в то время	3	1
39	вступает в свои	1	1
40	в свои права	1	1
41	и во времени	1	1
42	сих пор не	1	1
43	ни в чем	2	1
44	и дает место	2	1
45	только в организации	1	1
46	равно как и	2	1
47	сами по себе	1	1
48	место в событии	1	1
49	особенно важное значение	1	1
50	в свою очередь	1	1
51	но и в	2	1
52	о том что	1	1
53	но все это	1	1
54	в этом отношении	3	1
55	с самого начала	2	1
56	никогда не бывает	1	1
57	совершенно ясно что	1	1
58	более и более	1	1
59	и прежде всего	2	1
60	более того если	1	1
61	то же время	9	1
62	как мы уже	8	1
63	зависимости от ранга	1	1
64	включает в себя	1	1
65	при этом свое	1	1
66	мы имеем в	1	1
67	к герою и	1	1
68	со всех сторон	1	1
69	может быть только	3	1
70	в то же	6	1
71	говорит о том	1	1
72	он имеет в	1	1
73	и в частности	2	1
74	мы это уже	1	1
75	и тогда когда	1	1
76	в значительной степени	1	1
77	сама по себе	1	1
78	и самое слово	1	1
79	в своем движении	1	1
80	том что все	1	1
81	так же как	2	1
82	для нас не	1	1
83	но в процессе	1	1
84	как и в	2	1
85	к тому же	2	1
86	но в то	1	1
87	в высшей степени	1	1
88	в том же	1	1
