N	3gram	Bakhtin_KF_1	Komedia
1	в том что	2	9
2	для того чтобы	1	6
3	в свою очередь	1	6
4	в то же	2	4
5	то же время	2	4
6	по отношению к	22	3
7	с точки зрения	9	3
8	вместе с тем	1	3
9	во всяком случае	1	3
10	тем не менее	2	3
11	то же самое	1	3
12	бы то ни	2	2
13	то ни было	2	2
14	по отношению ко	4	2
15	в конечном счете	1	2
16	что и в	1	2
17	как этот человек	1	1
18	ничем не отличаются	1	1
19	и в своей	2	1
20	и всякий другой	1	1
21	равно как и	1	1
22	имеем в виду	2	1
23	а с точки	1	1
24	в соответствии с	2	1
25	друг против друга	1	1
26	не отличаются от	1	1
27	как это было	1	1
28	и в то	1	1
29	в зависимости от	1	1
30	не было и	1	1
31	то что и	1	1
32	он должен быть	1	1
33	независимо от того	1	1
34	но и здесь	3	1
35	на то что	1	1
36	несмотря на то	1	1
37	может быть только	7	1
38	что и она	1	1
39	я оказался в	1	1
40	любви к человеку	1	1
41	здесь мы видим	1	1
42	в настоящее время	1	1
43	в первом случае	1	1
44	едва ли кто-нибудь	1	1
45	же самое что	1	1
46	все это может	1	1
47	а тот в	1	1
48	и совершенно не	1	1
49	в этот момент	1	1
50	к нему в	4	1
51	к которой мы	1	1
52	со стороны его	1	1
53	всю свою жизнь	1	1
54	сказать в какой	1	1
55	что и для	1	1
56	и не должен	1	1
57	вопрос о том	2	1
58	в основе своей	1	1
59	чтобы дать в	1	1
60	и не знает	1	1
61	не менее в	1	1
62	если бы не	1	1
63	к тому что	1	1
64	и в этом	3	1
65	и в его	1	1
66	в том же	1	1
67	для нас важно	2	1
