N	2gram	Berdyaev_N_1	slovoVRo
1	и в	16	41
2	в нем	5	30
3	могут быть	2	19
4	во всех	3	17
5	не только	5	16
6	и не	11	16
7	но и	3	16
8	а не	17	15
9	и на	2	14
10	в то	2	14
11	и его	1	14
12	может быть	7	14
13	не может	16	14
14	в сущности	1	13
15	в его	1	13
16	в этом	7	12
17	так и	2	11
18	в большинстве	1	10
19	в той	1	10
20	себя в	2	9
21	все эти	2	9
22	как в	3	8
23	но в	2	8
24	слова в	1	8
25	прежде всего	4	8
26	в своей	3	7
27	не в	6	7
28	с ним	1	7
29	все они	2	7
30	во всяком	1	7
31	того же	1	6
32	это не	4	6
33	в них	4	6
34	оно не	1	6
35	только в	1	6
36	большинстве случаев	1	6
37	и даже	2	6
38	а в	2	6
39	и к	5	5
40	в самом	1	5
41	он в	1	5
42	с другими	1	5
43	всяком случае	1	5
44	все это	5	5
45	в основе	3	5
46	не на	1	5
47	и мир	1	5
48	к нему	1	5
49	с другой	3	5
50	по преимуществу	1	4
51	в ней	5	4
52	еще не	3	4
53	с его	6	4
54	за пределы	3	4
55	в которой	1	4
56	и с	2	4
57	лишь в	6	4
58	как и	7	4
59	и для	4	4
60	с ее	5	4
61	ли он	1	4
62	с одной	2	4
63	одной стороны	2	4
64	и все	4	4
65	и потому	4	4
66	и формы	2	4
67	и от	2	4
68	в смысле	2	4
69	другой стороны	2	4
70	или к	1	3
71	в зависимости	1	3
72	зависимости от	1	3
73	в своем	1	3
74	из этих	1	3
75	все слова	1	3
76	в себе	2	3
77	вообще не	1	3
78	было бы	1	3
79	лишь на	1	3
80	он не	8	3
81	не должно	1	3
82	она не	3	3
83	никогда не	6	3
84	не могут	1	3
85	к тому	3	3
86	смысле в	1	3
87	формы и	2	3
88	о том	4	3
89	и во	1	3
90	переходит в	1	3
91	все время	2	3
92	в том	8	3
93	конечно не	3	3
94	из них	1	3
95	всех сферах	3	3
96	так как	1	3
97	друг друга	1	3
98	у него	2	3
99	выходит за	1	3
100	в свою	1	3
101	не было	4	3
102	в истории	3	3
103	но оно	1	3
104	не были	1	3
105	с этим	2	3
106	по существу	2	3
107	формах и	1	3
108	хотя бы	2	3
109	смысле слова	3	2
110	связана с	2	2
111	в котором	1	2
112	мы уже	1	2
113	мы не	2	2
114	же как	2	2
115	время как	2	2
116	по своему	4	2
117	в ее	3	2
118	он может	1	2
119	но не	2	2
120	сих пор	1	2
121	хотя и	2	2
122	от этой	1	2
123	от этого	1	2
124	в известном	1	2
125	эпохи и	4	2
126	не могла	2	2
127	одному из	1	2
128	перестает быть	4	2
129	том и	2	2
130	всех своих	1	2
131	для них	1	2
132	слова все	1	2
133	том что	2	2
134	в эту	1	2
135	в этих	1	2
136	но он	1	2
137	в атмосфере	1	2
138	xviii века	2	2
139	все свои	1	2
140	явление в	1	2
141	ему не	1	2
142	у нас	1	2
143	в духе	3	2
144	на протяжении	2	2
145	оно может	1	2
146	то время	1	2
147	роль в	2	2
148	можно было	2	2
149	не с	1	2
150	можно сказать	1	2
151	а также	1	2
152	известном смысле	1	2
153	же и	1	2
154	уже не	2	2
155	и у	1	2
156	от других	1	2
157	для того	1	2
158	в последние	1	2
159	до сих	1	2
160	оно лишь	1	2
161	не есть	3	2
162	а на	1	2
163	жизнь в	1	2
164	что все	2	2
165	возможности в	1	2
166	эти слова	1	2
167	так же	2	2
168	в речах	1	2
169	такого рода	2	2
170	быть только	1	2
