N	2gram	Ircho_Kome_2	NovoeSre
1	а не	1	17
2	и в	26	16
3	не может	3	16
4	нового времени	2	12
5	и не	14	11
6	и есть	2	10
7	в эпоху	1	9
8	что в	9	9
9	как не	2	8
10	в том	11	8
11	жизни и	3	8
12	он не	2	8
13	в этом	10	7
14	в новой	1	7
15	может быть	11	7
16	как и	4	7
17	с его	5	6
18	не в	2	6
19	ни в	5	6
20	общественной жизни	1	6
21	никогда не	1	6
22	не знает	1	6
23	должен быть	1	5
24	в ней	3	5
25	и к	2	5
26	не только	7	5
27	в жизни	1	5
28	все это	3	5
29	в нем	6	5
30	о том	6	4
31	и мы	1	4
32	государства и	1	4
33	наше время	1	4
34	античного мира	2	4
35	в них	4	4
36	то что	6	4
37	это не	2	4
38	прежде всего	4	4
39	не было	3	4
40	по своему	2	4
41	не менее	4	4
42	и для	4	4
43	не имеет	3	4
44	и все	2	4
45	потому что	6	4
46	с другой	2	3
47	в ее	2	3
48	вопрос о	3	3
49	и начало	1	3
50	еще не	6	3
51	во всех	3	3
52	в истории	5	3
53	наряду с	6	3
54	как в	3	3
55	конечно не	1	3
56	в мире	2	3
57	но и	10	3
58	это было	4	3
59	не означает	1	3
60	с тем	5	3
61	в своей	3	3
62	в наше	1	3
63	в основе	1	3
64	к ее	1	3
65	жизни в	1	3
66	в духе	2	3
67	к тому	12	3
68	дня и	1	3
69	сказать что	1	3
70	которых не	1	2
71	и это	2	2
72	время как	2	2
73	роль в	2	2
74	не имеют	1	2
75	можно было	4	2
76	так и	12	2
77	времени и	1	2
78	к самой	1	2
79	мы не	2	2
80	и с	5	2
81	и что	2	2
82	и на	7	2
83	времени в	2	2
84	на протяжении	10	2
85	но не	3	2
86	в свои	1	2
87	все время	2	2
88	с этим	5	2
89	всякое значение	1	2
90	помнить что	1	2
91	хотя и	4	2
92	но в	3	2
93	погоня за	1	2
94	все эти	1	2
95	с одной	2	2
96	себя в	3	2
97	думать что	1	2
98	с их	4	2
99	в себе	1	2
100	не могла	1	2
101	политики и	1	2
102	том чтобы	1	2
103	приобщиться к	1	2
104	у него	4	2
105	люди не	1	2
106	что она	2	2
107	нет и	2	2
108	и даже	1	2
109	этом смысле	2	2
110	к более	1	2
111	права на	1	2
112	том что	9	2
113	вместе с	9	2
114	так же	1	2
115	место в	4	2
116	одной стороны	2	2
117	такого рода	1	2
118	другой стороны	1	2
119	обращение к	1	2
120	по существу	1	2
121	не могли	1	2
122	ни одна	2	2
123	как будто	4	2
124	войны и	3	2
125	как это	4	2
126	равно как	1	2
127	в то	6	2
128	одна из	2	2
129	того чтобы	6	2
130	и от	4	2
131	самой жизни	1	2
132	хотя бы	2	2
133	а в	3	2
134	также что	2	1
135	небом и	1	1
136	становится в	3	1
137	ни одно	1	1
138	для себя	1	1
139	только потому	2	1
140	перед лицом	2	1
141	что само	1	1
142	приводит к	1	1
143	как результат	1	1
144	культуры на	1	1
145	на западе	1	1
146	и этот	1	1
147	в образе	3	1
148	с собой	2	1
149	не с	1	1
150	еще в	4	1
151	с ним	1	1
152	говорить о	2	1
153	на себя	7	1
154	то это	2	1
155	не был	1	1
156	в виду	2	1
157	это время	3	1
158	думаю что	1	1
159	же мере	1	1
160	что его	3	1
161	в чем	1	1
162	и мира	1	1
163	это была	1	1
164	и во	2	1
165	частной собственности	1	1
166	в которую	1	1
167	к нему	3	1
168	нем не	2	1
169	то он	1	1
170	значение и	1	1
171	в его	4	1
172	не совершив	1	1
173	я думаю	1	1
174	но нет	1	1
175	отличие от	2	1
176	той социальной	1	1
177	значение для	1	1
178	к которому	1	1
179	в своем	6	1
180	как например	1	1
181	и нет	1	1
182	философии и	2	1
183	человека в	3	1
184	что он	5	1
185	только в	4	1
186	по своей	1	1
187	от этого	2	1
188	которым оно	1	1
189	после падения	1	1
190	в самом	4	1
191	приходят в	1	1
192	она скорее	1	1
193	то время	3	1
194	может вступить	1	1
195	из этих	4	1
196	в древних	1	1
197	к достижению	1	1
198	для всех	3	1
199	демократии и	1	1
200	и у	2	1
201	уже в	4	1
202	в большинстве	1	1
203	ко времени	3	1
204	существу своему	1	1
205	быть таким	1	1
206	свидетельствует о	1	1
207	от других	1	1
208	вступить на	1	1
209	большинстве случаев	1	1
210	из них	7	1
211	сами эти	1	1
212	бы к	2	1
213	к своим	1	1
214	все еще	1	1
215	мир в	1	1
216	для того	5	1
217	земли и	1	1
218	и их	3	1
219	всяком случае	2	1
220	нуждается в	1	1
221	по всем	2	1
222	в конце	2	1
223	не для	2	1
224	друг друга	3	1
225	тем что	3	1
226	к той	1	1
227	от того	2	1
228	перед ними	1	1
229	в основу	1	1
230	но все	3	1
231	от нее	1	1
232	в последние	4	1
233	жизни от	1	1
234	том случае	1	1
235	все от	1	1
236	во власти	1	1
237	до начала	3	1
