N	4gram	Bakhtin_sl_2	Problemy
1	в то же время	4	9
2	но в то же	3	5
3	в том что он	1	4
4	и т п все	3	2
5	и в то же	1	2
6	это не значит конечно	1	2
7	точка зрения на мир	1	2
8	не значит конечно что	1	2
9	здесь конечно не в	1	1
10	в истории европейского романа	1	1
11	то же время и	1	1
12	то перед нами не	1	1
13	она не может быть	1	1
14	как мы уже говорили	1	1
15	во всяком случае не	1	1
16	именно в том что	1	1
17	не могут до конца	1	1
18	с ним и с	1	1
19	в большинстве случаев в	1	1
20	а в том что	1	1
21	в зависимости от характера	2	1
22	роман не только не	1	1
23	дело здесь конечно не	1	1
24	т п все это	2	1
25	можно прямо сказать что	2	1
26	особая точка зрения на	1	1
27	по отношению к себе	1	1
28	у ивана карамазова и	1	1
